sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_net_expense_ratio,screen_ask,screen_bid,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_regular_market_change_percent,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_pe,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_symbol,screen_trailing_annual_dividend_rate,screen_trailing_annual_dividend_yield,screen_financial_currency,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_ipo_expected_date,screen_dividend_date,screen_prev_name,screen_name_change_date,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate
Consumer Discretionary,consumer-cyclical,1,XLY,State Street Consumer Discretionary Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.77,25.477707,39.62849,27.84971,USD,0.08,115.1,114.5,PCX,125.01,105.19,0.77,-1.33093,State Street Consumer Discretio,116.9,-1.55,-1.33093,1.7317882,1788566143.0,116.9,1.9899979,-1.55,1788552000,114.91,115.74,114.46 - 115.74,114.46,5071369,116.46,700,500,us_market,finmb_8795473,NYSEArca,State Street Consumer Discretionary Select Sector SPDR ETF,115.26,7192319,4764030,[],9.720001,0.09240423,105.19 - 125.01,-10.099998,-0.08079352,-2.626896,25.110588,-1.94523,-3.35935,-3.35935,22749814800.0,CLOSED,4.5761576,116.2486,-1.3385925,-0.011514913,116.96867,-2.05867,-0.017600182,15,0,America/New_York,EDT,-14400000,False,False,False,True,914337000000,2,XLY,,,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,2,JPIE,JPMorgan Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.73,20.24701356549909,,,USD,0.39,45.61,45.54,PCX,46.61,45.54,5.65,0.0219213,JPMorgan Income ETF,45.64,0.00999832,0.0219213,0.043841425,1788565616.0,45.64,0.020000458,0.00999832,1788552000,45.62,45.65,45.59 - 45.65,45.59,1607728,45.61,6600,4500,us_market,finmb_1673572815,NYSEArca,JPMorgan Income ETF,45.63,1436793,1561450,[],0.07999802,0.0017566538,45.54 - 46.61,-0.9900017,-0.021240113,-1.8924713,19.92125,2.29533,0.7006,0.7006,10682642400.0,CLOSED,2.290017,45.84548,-0.22548294,-0.0049183243,46.11256,-0.49256134,-0.010681718,15,0,America/New_York,EDT,-14400000,False,False,False,True,1635859800000,2,JPIE,0.0,0.0,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,3,VCR,Vanguard Consumer Discretionary Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.73,24.073182,40.397,24.88164,USD,0.09,389.97,384.87,PCX,414.28,346.48,0.73,-0.946198,Vanguard Consumer Discretion ET,387.34,-3.70001,-0.946198,0.0,1788564603.0,387.34,0.0,-3.70001,1788552000,387.34,388.665,385.95 - 388.665,385.95,32614,391.04,200,400,us_market,finmb_22939068,NYSEArca,Vanguard Consumer Discretionary Index Fund ETF Shares,387.35,54673,41710,[],40.859985,0.11792884,346.48 - 414.28,-26.940002,-0.06502849,-1.5103757,23.829557,-0.20452,-2.34488,-2.34488,6643268600.0,CLOSED,16.254602,392.373,-5.0329895,-0.012827054,389.1239,-1.783905,-0.004584414,15,0,America/New_York,EDT,-14400000,False,False,False,True,1075473000000,2,VCR,,,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,4,TSLL,Direxion Daily TSLA Bull 2X Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,3.84,59.988002,,,USD,0.83,7.8,7.78,NGM,23.74,6.695,3.84,-11.849715,Direxion Daily TSLA Bull 2X ETF,9.12,-1.2300005,-11.849715,-0.32786596,1788566399.0,9.12,-0.029999733,-1.2300005,1788552000,9.15,9.73,9.0 - 9.73,9.0,136042266,10.38,1,1,us_market,finmb_1793225454,NasdaqGM,Direxion Daily TSLA Bull 2X Shares,9.585,81793582,101528270,[],2.4549994,0.36669147,6.695 - 23.74,-14.59,-0.61457455,-30.471123,55.010044,-46.94146,-36.83809,-36.83809,3860678660.0,CLOSED,0.16633326,9.9039,-0.7539005,-0.07612158,14.1392,-4.9892006,-0.352863,15,0,America/New_York,EDT,-14400000,False,False,False,True,1660051800000,2,TSLL,0.0,0.0,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,5,ITB,iShares U.S. Home Construction ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.68,16.199579,68.83016,49.1462,USD,0.37,94.39,93.56,BTS,117.16,84.98,0.68,0.309764,iShares U.S. Home Construction ,93.726,0.290001,0.309764,-0.19593838,1788565414.0,93.726,-0.18400574,0.290001,1788552000,93.91,94.41,92.955 - 94.41,92.955,1310650,93.62,300,1200,us_market,finmb_27445771,Cboe US,iShares U.S. Home Construction ETF,93.17,2088266,1864560,[],8.93,0.10508355,84.98 - 117.16,-23.25,-0.19844656,-19.830973,16.066137,-1.41452,1.90257,1.90257,2360223740.0,CLOSED,5.8452134,97.8764,-3.9664001,-0.04052458,98.5062,-4.596199,-0.04665898,15,0,America/New_York,EDT,-14400000,False,False,False,True,1146835800000,2,ITB,0.0,0.0,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,6,FDIS,Fidelity MSCI Consumer Discretionary Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.73,23.326335,40.42493,24.34137,USD,0.084,106.38,99.41,PCX,107.45,89.95,0.73,-0.994292,Fidelity MSCI Consumer Discreti,101.94,-1.01,-0.994292,1.362238,1788566213.0,101.94,1.3700027,-1.01,1788552000,100.57,100.71,100.185 - 100.71,100.185,72478,101.58,300,400,us_market,finmb_243638578,NYSEArca,Fidelity MSCI Consumer Discretionary Index ETF,100.58,70357,58780,[],10.620003,0.118065625,89.95 - 107.45,-6.8799973,-0.06402976,-1.3632774,23.087587,-0.11194,-2.31173,-2.31173,1692495100.0,CLOSED,4.3560205,101.8774,-1.3074036,-0.012833106,101.0193,-0.44930267,-0.004447691,15,0,America/New_York,EDT,-14400000,False,False,False,True,1382621400000,2,FDIS,0.0,0.0,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,7,JFLX,JPMorgan Flexible Debt ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,7.20967,0.76844,USD,0.45,52.52,46.93,PCX,50.825,49.395,4.38,0.120824,JPMorgan Flexible Debt ETF,49.72,0.0600014,0.120824,0.0,1788564603.0,49.72,0.0,0.0600014,1788551998,49.72,49.745,49.68 - 49.745,49.68,110847,49.66,200,300,us_market,finmb_117286251,NYSEArca,JPMorgan Flexible Debt ETF,49.92,126601,102890,[],0.32500076,0.0065796287,49.395 - 50.825,-1.1049995,-0.02174126,-1.0035038,,1.97997,0.03391,0.03391,1560272640.0,CLOSED,,49.96876,-0.24876022,-0.004978315,50.160095,-0.440094,-0.008773787,15,0,America/New_York,EDT,-14400000,False,False,False,True,1759152600000,2,JFLX,0.0,0.0,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,8,JSI,Janus Henderson Securitized Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,6.29,27.344818,,,USD,0.5,53.83,47.83,PCX,52.92,50.71,6.25,0.0393402,Janus Henderson Securitized Inc,50.84,0.0199966,0.0393402,-0.019662384,1788566203.0,50.84,-0.0099983215,0.0199966,1788552000,50.85,50.86,50.81 - 50.86,50.81,110662,50.83,600,1100,us_market,finmb_1853542066,NYSEArca,Janus Henderson Securitized Income ETF,50.92,122126,119370,[],0.13999939,0.0027607847,50.71 - 52.92,-2.0699997,-0.03911564,-3.4738064,27.03118,1.34685,0.20346,0.20346,1544127230.0,CLOSED,1.881161,51.15382,-0.30382156,-0.005939372,51.73305,-0.8830528,-0.017069412,15,0,America/New_York,EDT,-14400000,False,False,False,True,1699540200000,2,JSI,0.0,0.0,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,9,XHB,State Street SPDR S&P Homebuilders ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.77,19.516003,60.05722,49.65231,USD,0.35,108.22,100.21,PCX,123.13,93.57,0.77,0.958251,State Street SPDR S&P Homebuild,102.36,0.980003,0.958251,-0.8619849,1788565541.0,102.36,-0.8899994,0.980003,1788552000,103.25,103.53,101.77 - 103.53,101.77,1536966,102.27,300,200,us_market,finmb_26752346,NYSEArca,State Street SPDR S&P Homebuilders ETF,101.84,2408387,1423730,[],9.68,0.10345197,93.57 - 123.13,-19.879997,-0.16145535,-13.656128,19.599527,0.33051,0.41072,0.41072,1331822720.0,CLOSED,5.2679844,107.7602,-4.5102005,-0.041854046,106.9711,-3.7210999,-0.03478603,15,0,America/New_York,EDT,-14400000,False,False,False,True,1139236200000,2,XHB,,,,,,,,,,,,,,,
Consumer Discretionary,consumer-cyclical,10,IYC,iShares US Consumer Discretionary ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.51,23.601605,34.10324,19.62262,USD,0.37,101.12,98.99,PCX,107.36,93.99,0.51,-0.968191,iShares U.S. Consumer Discretio,100.24,-0.980003,-0.968191,0.0,1788564602.0,100.24,0.0,-0.980003,1788551989,100.24,100.87,100.06 - 100.87,100.06,66255,101.22,800,1100,us_market,finmb_8795981,NYSEArca,iShares US Consumer Discretionary ETF,100.49,103020,63170,[],6.25,0.06649644,93.99 - 107.36,-7.1200027,-0.06631895,-4.823393,23.373098,-1.57794,-1.39542,-1.39542,1194078460.0,CLOSED,4.288691,101.3418,-1.101799,-0.010872109,101.74555,-1.5055542,-0.014797248,15,0,America/New_York,EDT,-14400000,False,False,False,True,962199000000,2,IYC,,,,,,,,,,,,,,,
