sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_net_expense_ratio,screen_ask,screen_bid,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_regular_market_change_percent,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_symbol,screen_dividend_date,screen_ipo_expected_date,screen_prev_name,screen_name_change_date
Consumer Staples,consumer-defensive,1,XLP,State Street Consumer Staples Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.59,25.13826,-0.88677,17.12011,USD,0.08,84.8,84.59,PCX,90.14,75.16,2.59,USD,-0.797561,State Street Consumer Staples S,85.37,-0.68,-0.797561,0.934028,1788566143,85.37,0.7900009,-0.68,1788552000,84.58,85.29,84.54 - 85.29,84.54,9823945,85.26,3500.0,4400.0,us_market,finmb_2668776,NYSEArca,State Street Consumer Staples Select Sector SPDR ETF,84.82,10739573,8372220,[],9.419998,0.1253326,75.16 - 90.14,-5.5599976,-0.061681803,4.9770355,1.73,25.019938,0.020290874,10.77396,3.1829,3.1829,14524716000.0,CLOSED,3.3805041,210172000.0,68.177,85.0322,-0.45220184,-0.005318007,83.32575,1.2542496,0.015052364,1.2405943,15,0,America/New_York,EDT,-14400000,False,False,False,True,914337000000,2,XLP,,,,
Consumer Staples,consumer-defensive,2,VDC,Vanguard Consumer Staples Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.09,25.680534,2.36621,17.48632,USD,0.09,229.77,227.23,PCX,244.33,205.45,2.09,,-0.795065,Vanguard Consumer Staples ETF,231.04,-1.83,-0.795065,1.1824459,1788566123,231.04,2.699997,-1.83,1788552000,228.34,230.22,228.34 - 230.22,228.34,123817,230.17,200.0,100.0,us_market,finmb_22939079,NYSEArca,Vanguard Consumer Staples Index Fund ETF Shares,229.25,150701,120970,[],22.89,0.11141397,205.45 - 244.33,-15.9900055,-0.0654443,3.866446,0.0,25.447609,0.0,9.87715,3.09445,3.09445,9265631200.0,CLOSED,8.972945,,,230.1746,-1.83461,-0.007970515,226.61145,1.7285461,0.007627797,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1075473000000,2,VDC,,,,
Consumer Staples,consumer-defensive,3,FSTA,Fidelity MSCI Consumer Staples Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.18,25.367834,2.28641,17.508,USD,0.084,53.68,53.23,PCX,56.93,47.88,2.18,,-0.690297,Fidelity MSCI COnsumer Staples ,53.75,-0.369999,-0.690297,0.9768936,1788566133,53.75,0.52000046,-0.369999,1788552000,53.23,53.63,53.19 - 53.63,53.19,116714,53.6,600.0,5900.0,us_market,finmb_243638583,NYSEArca,Fidelity MSCI Consumer Staples Index ETF,53.39,117323,105290,[],5.3499985,0.111737646,47.88 - 56.93,-3.7000008,-0.06499211,3.8026571,0.0,25.253967,0.0,9.92897,3.15111,3.15111,1414283140.0,CLOSED,2.1077876,,,53.6214,-0.39139938,-0.0072993133,52.79195,0.43804932,0.008297654,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1382621400000,2,FSTA,,,,
Consumer Staples,consumer-defensive,4,IYK,iShares US Consumer Staples ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.54,23.809524,-2.76543,17.28525,USD,0.37,75.1,73.5,PCX,78.33,65.21,2.54,USD,-0.878472,iShares U.S. Consumer Staples E,74.47,-0.659996,-0.878472,0.0,1788564602,74.47,0.0,-0.659996,1788552000,74.47,74.98,74.41 - 74.98,74.41,104190,75.13,800.0,200.0,us_market,finmb_8796322,NYSEArca,iShares US Consumer Staples ETF,74.76,217265,106280,[],9.260002,0.14200279,65.21 - 78.33,-3.8600006,-0.0492787,7.089448,2.45,23.748932,0.032610144,12.67662,5.60645,5.60645,1406885500.0,CLOSED,3.13572,3750000.0,184.656,74.5902,-0.12020111,-0.0016114865,71.7883,2.6817017,0.03735569,0.40329045,15,0,America/New_York,EDT,-14400000,False,False,False,True,961162200000,2,IYK,,,,
Consumer Staples,consumer-defensive,5,KXI,iShares Global Consumer Staples ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.35,22.983222,2.37332,13.45461,USD,0.38,71.0,66.61,PCX,73.65,63.15,2.35,,-0.42268,iShares Global Consumer Staples,68.32,-0.290001,-0.42268,0.0,1788564603,68.32,0.0,-0.290001,1788552000,68.32,68.6,68.26 - 68.6,68.26,28603,68.61,100.0,700.0,us_market,finmb_29102231,NYSEArca,iShares Global Consumer Staples ETF,68.3,87680,74410,[],5.169998,0.08186854,63.15 - 73.65,-5.330002,-0.07236934,3.562224,,22.973133,,7.15441,2.57041,2.57041,1087263870.0,CLOSED,2.9739087,,,68.7818,-0.46179962,-0.00671398,68.00195,0.31804657,0.004677021,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1158931800000,2,KXI,,,,
Consumer Staples,consumer-defensive,6,RSPS,Invesco S&P 500 Equal Weight Consumer Staples ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.86,22.857143,-5.36287,14.56468,USD,0.4,30.87,30.51,PCX,33.37,28.21,2.86,,-0.739079,Invesco S&P 500 Equal Weight Co,30.89,-0.230001,-0.739079,0.0,1788564602,30.89,0.0,-0.230001,1788551991,30.89,31.06,30.8801 - 31.06,30.8801,40488,31.12,1700.0,1500.0,us_market,finmb_30119345,NYSEArca,Invesco S&P 500 Equal Weight Consumer Staples ETF,30.97,71998,46560,[],2.6800003,0.09500179,28.21 - 33.37,-2.4799995,-0.07431824,2.1157026,0.0,22.717413,0.0,8.77828,5.31981,5.31981,249581216.0,CLOSED,1.3597499,,,30.946,-0.055999756,-0.001809596,30.3886,0.5014,0.016499609,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1162909800000,2,RSPS,,,,
Consumer Staples,consumer-defensive,7,FXG,First Trust Consumer Staples AlphaDEX Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.35,15.913431,1.93371,21.69684,USD,0.63,64.67,63.23,PCX,69.5,59.67,2.35,,-0.743833,First Trust Cons. Staples Alpha,64.0,-0.479996,-0.743833,-0.07806877,1788563441,64.0,-0.05000305,-0.479996,1788552000,64.05,64.48,64.02 - 64.48,64.02,4945,64.53,3400.0,500.0,us_market,finmb_34336427,NYSEArca,First Trust Consumer Staples AlphaDEX Fund,64.17,12293,14690,[],4.380005,0.073403805,59.67 - 69.5,-5.449997,-0.07841722,-0.77459216,0.0,15.692922,0.0,8.19567,7.52656,7.52656,230743056.0,CLOSED,4.081458,,,64.7562,-0.70619965,-0.010905514,63.78945,0.26055145,0.004084554,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1178803800000,2,FXG,,,,
Consumer Staples,consumer-defensive,8,PBJ,Invesco Food & Beverage ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.28,19.53125,2.34742,26.8013,USD,0.61,48.28,47.36,PCX,51.07,42.69,1.28,,-0.519535,Invesco Food & Beverage ETF,47.87,-0.25,-0.519535,0.0,1788564602,47.87,0.0,-0.25,1788551991,47.87,48.045,47.85 - 48.045,47.85,9562,48.12,500.0,600.0,us_market,finmb_22938452,NYSEArca,Invesco Food & Beverage ETF,47.89,27068,23940,[],5.1800003,0.1213399,42.69 - 51.07,-3.2000008,-0.06265911,1.0768533,,19.60908,,7.08936,0.04663,0.04663,92502912.0,CLOSED,2.441216,,,48.074,-0.20400238,-0.0042435075,47.84765,0.022350311,0.0004671141,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1119533400000,2,PBJ,,,,
Consumer Staples,consumer-defensive,9,PSL,Invesco Dorsey Wright Consumer Staples Momentum ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.73,24.154589,12.37503,6.57046,USD,0.6,115.76,115.17,NGM,117.28,97.96,0.73,,-0.14538933,Invesco Dorsey Wright Consumer ,113.9,-0.40000153,-0.35075545,0.022658875,1788564603,113.9,0.025802612,-0.165802,1788552000,113.8742,113.8742,113.64 - 113.8742,113.64,640,114.04,3.0,3.0,us_market,finmb_29596672,NasdaqGM,Invesco Dorsey Wright Consumer Staples Momentum ETF,113.64,1533,1000,[],15.9142,0.16245611,97.96 - 117.28,-3.4057999,-0.029039904,1.7968893,0.0,24.028868,0.0,14.39298,5.3782,5.3782,83565208.0,CLOSED,4.739058,,,114.4234,-0.54920197,-0.004799735,109.7818,4.0923996,0.03727758,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1160659800000,2,PSL,1522281600.0,,,
Consumer Staples,consumer-defensive,10,GXPS,Global X Purecap MSCI Consumer Staples ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.26,26.288118,,,USD,0.15,28.08,24.97,PCX,29.63,23.28,1.26,,-1.08696,Global X PureCap MSCI Consumer ,26.39,-0.290001,-1.08696,0.0,1788555900,26.39,0.0,-0.290001,1788551992,26.39,26.55,26.39 - 26.55,26.39,33043,26.68,800.0,200.0,us_market,finmb_1942486170,NYSEArca,Global X Purecap MSCI Consumer Staples ETF,26.55,23688,23860,[],3.1099987,0.13359101,23.28 - 29.63,-3.2399998,-0.109348625,5.877638,0.0,26.070776,0.0,9.73341,1.75204,1.75204,71112904.0,CLOSED,1.0122445,,,26.70308,-0.31307983,-0.011724484,26.36768,0.022319794,0.00084648305,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1753277400000,2,GXPS,,,,
Consumer Staples,consumer-defensive,11,HIMZ,Defiance Daily Target 2X Long HIMS ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,,,USD,1.33,44.94,25.59,NGM,391.58,12.376,6.96,,-1.6531116,Defiance Daily Target 2X Long H,25.1,-0.37999916,-1.5151482,1.7619858,1788566333,25.1,0.43460083,-0.41460037,1788552000,24.6654,24.97,24.1082 - 24.97,24.1082,192945,25.08,2.0,2.0,us_market,finmb_1916075038,NasdaqGM,Defiance Daily Target 2X Long HIMS ETF,24.66,428887,320520,[],12.289399,0.9930025,12.376 - 391.58,-366.91458,-0.9370106,-90.335785,0.0,36.534023,0.0,-64.94687,-6.19578,-6.19578,56909168.0,CLOSED,0.675135,,,37.2939,-12.6285,-0.33862108,47.853775,-23.188375,-0.4845673,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1741872600000,2,HIMZ,,2025-03-13,,
Consumer Staples,consumer-defensive,12,PSCC,Invesco S&P SmallCap Consumer Staples ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.63,20.316944,14.87009,28.43641,USD,0.29,37.79,37.55,NGM,38.22,30.6,1.63,,-0.5073389,Invesco S&P SmallCap Consumer S,35.95,-0.2100029,-0.5809208,-0.04614767,1788564602,35.95,-0.016597748,-0.18340302,1788552000,35.9666,36.19,35.78 - 36.19,35.78,6955,36.15,1.0,1.0,us_market,finmb_100588835,NasdaqGM,Invesco S&P SmallCap Consumer Staples ETF,35.98,12222,19440,[],5.366598,0.17537902,30.6 - 38.22,-2.2534027,-0.058958728,3.3917785,0.0,19.733498,0.0,20.08389,13.20982,13.20982,39255156.0,CLOSED,1.8226166,,,36.8178,-0.8512001,-0.023119256,33.8045,2.162098,0.063958876,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1270647000000,2,PSCC,1498780800.0,,,
Consumer Staples,consumer-defensive,13,MHY,Man Active High Yield ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,,,,,USD,,39.63,23.11,PCX,26.2,24.685,,,-0.0191685,Man Active High Yield ETF,26.085,-0.00500107,-0.0191685,0.0,1788555900,26.085,0.0,-0.00500107,1788547779,26.085,26.085,26.06 - 26.085,26.06,288,26.09,600.0,400.0,us_market,finmb_1949944667,NYSEArca,Man Active High Yield ETF,26.06,18555,2250,[],1.3999996,0.05671459,24.685 - 26.2,-0.11500168,-0.004389377,3.552997,,8.47781,,,,,,CLOSED,3.076856,,,25.7437,0.34129906,0.013257576,25.29161,0.79338837,0.031369627,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1758202200000,2,MHY,,,,
Consumer Staples,consumer-defensive,14,FTXG,First Trust Nasdaq Food & Beverage ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.49,20.872469,-6.18118,12.3846,USD,0.6,22.85,16.64,NGM,23.95,20.43,2.49,,-0.8145091,First Trust Nasdaq Food & Bever,22.8325,-0.19000053,-0.8253716,0.010952843,1788552604,22.8325,0.002500534,-0.1875,1788552000,22.8325,22.95,22.83 - 22.95,22.83,4508,23.02,2.0,37.0,us_market,finmb_374010002,NasdaqGM,First Trust Nasdaq Food & Beverage ETF,22.84,12046,10050,[],2.4025002,0.11759668,20.43 - 23.95,-1.1175003,-0.04665972,2.772653,0.0,20.60962,0.0,11.51028,4.7018,4.7018,18484714.0,CLOSED,1.1078565,,,22.97186,-0.13936043,-0.006066571,22.349504,0.482996,0.021611039,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1476106200000,2,FTXG,1490918400.0,,,
Consumer Staples,consumer-defensive,15,KHYB,KraneShares Asia Pacific High Income USD Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,8.46,9.259259,3.71854,-12.83056,USD,0.69,24.37,23.91,PCX,24.875,23.51,8.46,,-0.0207901,KraneShares Asia Pacific High I,24.05,-0.00500107,-0.0207901,0.0,1788555900,24.05,0.0,-0.00500107,1788549006,24.05,24.0577,24.0 - 24.0577,24.0,7407,24.055,2100.0,100.0,us_market,finmb_546573857,NYSEArca,KraneShares Asia Pacific High Income USD Bond ETF,24.05,2703,2880,[],0.539999,0.022968907,23.51 - 24.875,-0.82500076,-0.03316586,-1.4949799,0.0,9.245803,0.0,4.55692,2.18078,2.18078,15650042.0,CLOSED,2.60118,,,24.13326,-0.08326149,-0.0034500721,24.298645,-0.24864578,-0.010232908,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1531143000000,2,KHYB,,,,
Consumer Staples,consumer-defensive,16,UGE,ProShares Ultra Consumer Staples,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.11,25.13826,2.48742,42.39999,USD,0.95,19.46,18.55,PCX,22.26,15.74,2.11,,-1.5474,ProShares Ultra Consumer Staple,18.84,-0.299099,-1.5474,-0.9984263,1788566139,18.84,-0.19000053,-0.299099,1788551980,19.03,19.27,19.015 - 19.27,19.015,149203,19.3291,100.0,1100.0,us_market,finmb_32431306,NYSEArca,ProShares Ultra Consumer Staples,19.08,44953,34160,[],3.290001,0.20902166,15.74 - 22.26,-3.2299995,-0.1451033,5.080068,,24.895975,,16.04555,4.04083,4.04083,9991890.0,CLOSED,0.76438063,,,19.3718,-0.34179878,-0.017644143,18.9153,0.11470032,0.006063891,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1170340200000,2,UGE,,,,
Consumer Staples,consumer-defensive,17,XLSI,State Street Consumer Staples Select Sector SPDR Premium Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,8.51,26.150628,,,USD,,23.75,23.28,PCX,25.51,22.7,,,-0.709017,State Street Consumer Staples S,23.74,-0.166201,-0.709017,1.9987301,1788555900,23.74,0.46520042,-0.166201,1788548638,23.2748,23.395,23.2748 - 23.395,23.2748,10307,23.441,1800.0,100.0,us_market,finmb_1945101955,NYSEArca,State Street Consumer Staples Select Sector SPDR Premium Income ETF,23.37,9568,8000,[],0.5747986,0.025321523,22.7 - 25.51,-2.235201,-0.08762057,-5.8416605,0.0,24.853937,0.0,,,,,CLOSED,0.9364633,,,23.52158,-0.2467804,-0.010491659,23.822186,-0.54738617,-0.022978,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1753882200000,2,XLSI,,,The Select Sector SPDR Trust - The Consumer Staples Select Sector SPDR Premium Income Fund,2026-09-07
Consumer Staples,consumer-defensive,18,NICO,Hexis Active Nicotine Engagement ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-09-07T11:17:52+00:00,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,,,,,USD,,37.81,24.87,PCX,27.44,24.83,,,-1.28092,Hexis Active Nicotine Engagemen,24.87,-0.322699,-1.28092,0.0,1788555900,24.87,0.0,-0.322699,1788547685,24.87,24.94,24.87 - 24.94,24.87,1033,25.1927,4000.0,100.0,us_market,finmb_1960929859,NYSEArca,Hexis Active Nicotine Engagement ETF,24.91,766,230,[],0.040000916,0.0016109913,24.83 - 27.44,-2.5699997,-0.09365888,-1.6218364,,15.9159975,,,,,,CLOSED,1.5625788,,,25.7134,-0.84339905,-0.03279998,25.781765,-0.91176414,-0.03536469,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1778074200000,2,NICO,,,,
