sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_trailing_annual_dividend_yield,screen_net_assets,screen_exchange,screen_post_market_time,screen_currency,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_trailing_annual_dividend_rate,screen_market_state,screen_trailing_three_month_returns,screen_bid_size,screen_message_board_id,screen_regular_market_previous_close,screen_fifty_two_week_low_change,screen_ask,screen_bid,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_eps_trailing_twelve_months,screen_fifty_two_week_high_change_percent,screen_price_hint,screen_trailing_three_month_nav_returns,screen_fifty_two_week_high_change,screen_regular_market_day_low,screen_regular_market_volume,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_post_market_change,screen_regular_market_change,screen_post_market_change_percent,screen_regular_market_change_percent,screen_has_pre_post_market_data,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_net_expense_ratio,screen_market,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_time,screen_regular_market_price,screen_first_trade_date_milliseconds,screen_full_exchange_name,screen_ask_size,screen_regular_market_open,screen_average_daily_volume3_month,screen_corporate_actions,screen_average_daily_volume10_day,screen_fifty_two_week_low_change_percent,screen_two_hundred_day_average_change_percent,screen_long_name,screen_fifty_two_week_change_percent,screen_post_market_price,screen_trailing_pe,screen_fifty_two_week_range,screen_ytd_return,screen_symbol,screen_dividend_date,screen_ipo_expected_date,screen_prev_name,screen_name_change_date,screen_market_cap,screen_implied_shares_outstanding
Emerging Markets,emerging_markets,1,VWO,Vanguard FTSE Emerging Markets Index Fund ETF Shares,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.018396458,167548715000.0,PCX,1788566313.0,USD,1.2761184,15,0,America/New_York,EDT,-14400000,False,False,False,1.122,CLOSED,1.44236,4400.0,finmb_20936186,60.99,9.239998,61.61,61.2,61.54,52.2,2.29,USD,3.5596626,-0.0016249965,2,1.44236,-0.10000229,61.09,5445627,1418119936.0,48.146,59.5488,1.8911972,0.031758778,57.38305,4.0569496,-0.41999817,0.449997,-0.68359077,0.737821,True,Vanguard FTSE Emerging Markets ,61.02,0.449997,0.737821,0.06,us_market,61.535,61.09 - 61.535,1788552000,61.44,1110465000000,NYSEArca,3500.0,61.09,7682014,[],5417600,0.17701145,0.070699446,Vanguard FTSE Emerging Markets Index Fund ETF Shares,17.073166,61.02,17.260063,52.2 - 61.54,12.86503,VWO,,,,,,
Emerging Markets,emerging_markets,2,IEMG,iShares Core MSCI Emerging Markets ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.014096487,160899023000.0,PCX,1788566395.0,USD,1.2953528,15,0,America/New_York,EDT,-14400000,False,False,False,1.16,CLOSED,-1.29728,1000.0,finmb_223308554,82.29,20.66,83.99,83.0,86.49,62.99,2.2,USD,5.703413,-0.032836124,2,-1.29728,-2.8399963,82.53,6897806,1150800000.0,64.577,80.0308,3.6192017,0.04522261,75.50875,8.141251,-1.340004,1.36,-1.6019174,1.65269,True,iShares Core MSCI Emerging Mark,82.31,1.36,1.65269,0.09,us_market,83.655,82.53 - 83.655,1788552000,83.65,1351085400000,NYSEArca,800.0,82.55,11339393,[],7767970,0.32798856,0.10781864,iShares Core MSCI Emerging Markets ETF,32.065044,82.31,14.6666565,62.99 - 86.49,22.56278,IEMG,,,,,,
Emerging Markets,emerging_markets,3,EEM,iShares MSCI Emerging Markets ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,31207041000.0,PCX,1788566372.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,,CLOSED,-1.4809,7100.0,finmb_8797528,67.47,18.069996,68.77,68.65,71.57,50.63,1.66,,4.700783,-0.040100638,2,-1.4809,-2.8700027,67.73,21930884,,,65.8026,2.8974,0.044031695,61.74135,6.9586487,0.069999695,1.23,0.101891845,1.82303,True,iShares MSCI Emerging Index Fun,68.77,1.23,1.82303,0.72,us_market,68.73,67.73 - 68.73,1788552000,68.7,1050327000000,NYSEArca,2600.0,67.73,23814774,[],15219220,0.35690293,0.11270646,iShares MSCI Emerging Markets ETF,34.944023,68.77,14.614587,50.63 - 71.57,23.3042,EEM,,,,,,
Emerging Markets,emerging_markets,4,AVEM,Avantis Emerging Markets Equity ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.0,28053696500.0,PCX,1788566266.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,CLOSED,-1.84369,500.0,finmb_626032720,95.36,24.409996,99.5,96.81,100.83,72.4,1.86,,7.37211,-0.03986913,2,-1.84369,-4.0200043,95.6,1772651,,,92.6122,4.1977997,0.04532664,87.0962,9.7137985,-1.5699997,1.45,-1.6217331,1.52055,True,Avantis Emerging Markets Equity,95.24,1.45,1.52055,0.33,us_market,96.83,95.6 - 96.83,1788552000,96.81,1568899800000,NYSEArca,1800.0,95.67,1738353,[],1446630,0.33715463,0.11152954,Avantis Emerging Markets Equity ETF,33.053875,95.24,13.131926,72.4 - 100.83,23.62539,AVEM,,,,,,
Emerging Markets,emerging_markets,5,EMXC,iShares MSCI Emerging Markets ex China ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,24918462500.0,NGM,1788566272.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,,CLOSED,-1.76981,1.0,finmb_426357095,99.25,36.598,95.29,94.7,107.12,64.522,1.96,,6.549323,-0.05601195,2,-1.76981,-6.0,99.49,1510375,,,95.976,5.144005,0.053596783,86.935074,14.184929,-1.8500061,1.8700027,-1.8295155,1.8841337,True,iShares MSCI Emerging Markets e,99.27,1.8700027,1.8841337,0.25,us_market,101.165,99.49 - 101.165,1788552001,101.12,1501075800000,NasdaqGM,1.0,99.6,2477858,[],1222710,0.56721735,0.16316693,iShares MSCI Emerging Markets ex China ETF,56.025303,99.27,15.439764,64.522 - 107.12,35.90527,EMXC,,,,,,
Emerging Markets,emerging_markets,6,SPEM,State Street SPDR Portfolio Emerging Markets ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.0,17831092200.0,PCX,1788566395.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,CLOSED,1.73614,2600.0,finmb_33377397,53.0,8.450001,56.4,51.61,53.54,44.96,2.46,,3.2889786,-0.0024281112,2,1.73614,-0.13000107,53.04,881285,76800000.0,,51.6498,1.7602005,0.034079522,49.8714,3.538601,-0.52000046,0.41,-0.9736013,0.773585,True,State Street SPDR Portfolio Eme,52.89,0.41,0.773585,0.07,us_market,53.47,53.04 - 53.47,1788552000,53.41,1174656600000,NYSEArca,5500.0,53.06,1846830,[],968140,0.18794486,0.07095452,State Street SPDR Portfolio Emerging Markets ETF,18.137587,52.89,16.239084,44.96 - 53.54,14.0992,SPEM,,,,,,
Emerging Markets,emerging_markets,7,SCHE,Schwab Emerging Markets Equity ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.0,13002555400.0,PCX,1788564603.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,CLOSED,1.71369,4400.0,finmb_83113774,37.3,5.8200016,37.95,37.37,37.64,31.76,2.57,,2.219341,-0.0015939841,2,1.71369,-0.05999756,37.34,2404290,,,36.3738,1.2062035,0.033161327,34.97405,2.6059532,0.0,0.280003,0.0,0.750677,True,Schwab Emerging Markets Equity ,37.58,0.280003,0.750677,0.06,us_market,37.64,37.34 - 37.64,1788552000,37.58,1263479400000,NYSEArca,2500.0,37.34,3102052,[],2985440,0.18324941,0.07451105,Schwab Emerging Markets Equity ETF,17.144644,37.58,16.932955,31.76 - 37.64,13.11504,SCHE,,,,,,
Emerging Markets,emerging_markets,8,FNDE,Schwab Fundamental Emerging Markets Equity ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.0,10305781800.0,PCX,1788564602.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,CLOSED,2.7608,700.0,finmb_243129822,42.8,8.390003,43.7,42.9,43.1838,34.69,3.52,,3.4876802,-0.0024036309,2,2.7608,-0.10379791,42.88,1496373,,,41.0102,2.0698013,0.050470404,39.40825,3.671753,-0.0870018,0.280003,-0.20195404,0.654212,True,Schwab Fundamental Emerging Mar,42.993,0.280003,0.654212,0.39,us_market,43.1838,42.88 - 43.1838,1788552000,43.08,1376573400000,NYSEArca,600.0,42.88,1015568,[],2007430,0.24185655,0.09317219,Schwab Fundamental Emerging Markets Equity ETF,23.120892,42.993,12.352051,34.69 - 43.1838,17.33115,FNDE,,,,,,
Emerging Markets,emerging_markets,9,DFAE,Dimensional Emerging Core Equity Market ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.0,10100025300.0,PCX,1788566134.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,CLOSED,-0.99398,1600.0,finmb_684162193,39.99,10.198,42.4,40.05,42.161,30.372,1.76,,2.7203085,-0.03773629,2,-0.99398,-1.5909996,40.05,769903,,,38.8206,1.7494011,0.045063734,36.577126,3.9928741,0.3199997,0.579998,0.7887594,1.45036,True,Dimensional Emerging Core Equit,40.89,0.579998,1.45036,0.29,us_market,40.58,40.05 - 40.58,1788552000,40.57,1607005800000,NYSEArca,1800.0,40.05,1106109,[],735780,0.3357698,0.10916315,Dimensional Emerging Core Equity Market ETF,32.53839,40.89,14.91375,30.372 - 42.161,23.19527,DFAE,,,,,,
Emerging Markets,emerging_markets,10,DFEM,Dimensional Emerging Markets Core Equity 2 ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.0,9624314900.0,PCX,1788564602.0,USD,,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,CLOSED,-1.23364,900.0,finmb_1760559084,40.45,9.796,50.99,39.15,42.57,31.204,1.84,,2.8651085,-0.036880426,2,-1.23364,-1.5699997,40.515,903252,,,39.2507,1.7492981,0.044567306,37.113724,3.8862762,0.0,0.549999,0.0,1.3597,True,Dimensional Emerging Markets Co,41.0,0.549999,1.3597,0.39,us_market,41.005,40.515 - 41.005,1788552000,41.0,1651066200000,NYSEArca,800.0,40.53,984279,[],747410,0.3139341,0.10471265,Dimensional Emerging Markets Core Equity 2 ETF,30.490135,41.0,14.310103,31.204 - 42.57,22.8822,DFEM,,,,,,
