sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_net_expense_ratio,screen_ask,screen_bid,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_regular_market_change_percent,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_dividend_date,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_symbol,screen_financial_currency,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_eps_forward,screen_forward_pe,screen_ipo_expected_date,screen_display_name,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_prev_name,screen_name_change_date
Energy,energy,1,IUSB,iShares Core Universal USD Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.0,10.989010989010989,6.20431,-1.27768,USD,0.06,45.54,45.48,NGM,47.23,45.12,4.29,0.03316248,iShares Core Universal USD Bond,45.26,0.01499939,0.03316248,0.033151485,1788566249.0,45.26,0.01499939,0.01499939,1788552001,45.245,45.29,45.23 - 45.29,45.23,3277858,45.23,7.0,7.0,us_market,finmb_266031808,NasdaqGM,iShares Core Universal USD Bond ETF,45.25,3443053,3557410,[],0.125,0.0027703901,45.12 - 47.23,-1.9850006,-0.042028386,-3.270626,1522972800.0,0.0,10.750222,0.0,0.01161,-0.54851,-0.54851,43791397000.0,CLOSED,4.2087502,45.6036,-0.35860062,-0.0078634275,46.21565,-0.9706497,-0.02100262,15,0,America/New_York,EDT,-14400000,False,False,False,True,1402579800000,2,IUSB,,,,,,,,,,,,,,,
Energy,energy,2,XLE,State Street Energy Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.37,17.74308,-0.71642,53.25565,USD,0.08,64.15,64.12,PCX,65.52,42.35,2.37,-0.866613,State Street Energy Select Sect,64.1456,-0.560005,-0.866613,0.13362755,1788566388.0,64.1456,0.08560181,-0.560005,1788552000,64.06,64.33,63.375 - 64.33,63.375,26088239,64.62,3800.0,12400.0,us_market,finmb_8795479,NYSEArca,State Street Energy Select Sector SPDR ETF,64.04,29910884,26322270,[],21.71,0.51263285,42.35 - 65.52,-1.4599991,-0.02228326,46.99403,,2.16,17.77082,0.033426184,44.89357,14.35014,14.35014,41438106000.0,CLOSED,3.6047857,59.203,4.8569984,0.082039736,54.83085,9.229149,0.16832037,15,0,America/New_York,EDT,-14400000,False,False,False,True,914337000000,2,XLE,USD,186424000.0,52.115,1.2292045,,,,,,,,,,,
Energy,energy,3,USHY,iShares Broad USD High Yield Corporate Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,6.78,10.989010989010989,13.50456,5.14426,USD,0.08,37.25,36.53,BTS,37.867,36.39,6.91,-0.0273029,iShares Broad USD High Yield Co,36.64,-0.00999832,-0.0273029,0.081941485,1788565990.0,36.64,0.02999878,-0.00999832,1788552001,36.61,36.64,36.6 - 36.64,36.6,4428561,36.62,28700.0,45000.0,us_market,finmb_533589528,Cboe US,iShares Broad USD High Yield Corporate Bond ETF,36.63,10388282,8304430,[],0.22000122,0.0060456507,36.39 - 37.867,-1.257,-0.03319513,-2.6329815,,0.0,10.742528,0.0,2.6792,1.05321,1.05321,28732549100.0,CLOSED,3.4079502,36.8224,-0.21239853,-0.0057681883,37.10725,-0.4972496,-0.013400336,15,0,America/New_York,EDT,-14400000,False,False,False,True,1509024600000,2,USHY,,,,,,,,,,,,,,,
Energy,energy,4,PYLD,PIMCO ETF Trust - PIMCO Multisector Bond Active Exchange-Traded Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,,,USD,0.64,26.25,25.99,PCX,27.04,25.92,5.94,0.0,PIMCO Multisector Bond Active E,26.04,0.0,0.0,0.038418088,1788566385.0,26.04,0.010000229,0.0,1788552000,26.03,26.05,26.0101 - 26.05,26.0101,2987183,26.03,22400.0,11600.0,us_market,finmb_1835233450,NYSEArca,PIMCO ETF Trust - PIMCO Multisector Bond Active Exchange-Traded Fund,26.03,3714528,3595980,[],0.11000061,0.0042438507,25.92 - 27.04,-1.0100002,-0.037352078,-2.8005958,,0.0,,0.0,1.3317,0.26677,0.26677,15691676700.0,CLOSED,,26.2243,-0.1942997,-0.007409147,26.487604,-0.45760345,-0.017276136,15,0,America/New_York,EDT,-14400000,False,False,False,True,1687440600000,2,PYLD,,,,,,,,,,,,,,,
Energy,energy,5,JCPB,JPMorgan Core Plus Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.14,59.98800239952009,7.04871,-0.501,USD,0.37,46.9,43.75,PCX,48.17,45.82,4.97,0.0,JPMorgan Core Plus Bond ETF,45.94,0.0,0.0,0.0,1788564604.0,45.94,0.0,0.0,1788552000,45.94,45.9757,45.915 - 45.9757,45.915,1566125,45.94,2900.0,13000.0,us_market,finmb_576700807,NYSEArca,JPMorgan Core Plus Bond ETF,45.93,1924653,1720390,[],0.11999893,0.0026189203,45.82 - 48.17,-2.2299995,-0.046294365,-3.5076678,,0.0,59.54781,0.0,0.28793,-0.51349,-0.51349,14606331900.0,CLOSED,0.7714809,46.35088,-0.41088104,-0.008864579,47.02224,-1.082241,-0.023015514,15,0,America/New_York,EDT,-14400000,False,False,False,True,1552397400000,2,JCPB,,,,,,,,,,,,,,,
Energy,energy,6,AMLP,Alerian MLP ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,7.33,15.356265,21.59329,39.28504,USD,1.01,55.72,55.22,PCX,56.06,44.64,7.33,0.541326,Alerian MLP ETF,55.78,0.300003,0.541326,0.10767688,1788566396.0,55.78,0.05999756,0.300003,1788552000,55.72,55.78,55.02 - 55.78,55.02,1145525,55.42,700.0,400.0,us_market,finmb_112317754,NYSEArca,Alerian MLP ETF,55.4,1301096,982630,[],11.080002,0.24820793,44.64 - 56.06,-0.34000015,-0.006064933,17.379402,,0.0,15.392178,0.0,24.96513,9.6767,9.6767,13442306000.0,CLOSED,3.6200206,54.3098,1.410202,0.025965886,51.6912,4.028801,0.077939786,15,0,America/New_York,EDT,-14400000,False,False,False,True,1282743000000,2,AMLP,,,,,1471651200.0,1471910400.0,,,,,,,,,
Energy,energy,7,VDE,Vanguard Energy Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.24,19.876764,-0.00291,56.01309,USD,0.09,182.28,179.24,PCX,184.71,119.84,2.24,-0.86737,Vanguard Energy ETF,182.28,-1.58,-0.86737,0.9414093,1788566169.0,182.28,1.699997,-1.58,1788552000,180.58,181.34,178.93 - 181.34,178.93,428133,182.16,800.0,100.0,us_market,finmb_8815884,NYSEArca,Vanguard Energy Index Fund ETF Shares,180.8,594250,430090,[],60.740005,0.5068425,119.84 - 184.71,-4.130005,-0.0223594,47.15997,,2.469,21.36897,0.013554019,44.82466,14.01601,14.01601,13102832600.0,CLOSED,8.450571,167.0584,13.521606,0.080939405,154.86115,25.718857,0.16607688,15,0,America/New_York,EDT,-14400000,False,False,False,True,1096464600000,2,VDE,USD,41751700.0,56.102,3.21878,,,,,,,,,,,
Energy,energy,8,JNK,State Street SPDR Bloomberg High Yield Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,13.17219,4.28024,USD,0.4,95.59,95.1,PCX,98.24,94.49,6.61,-0.0314863,State Street SPDR Bloomberg Hig,95.45,-0.0300064,-0.0314863,0.18893704,1788565400.0,95.45,0.1800003,-0.0300064,1788552000,95.27,95.36,95.26 - 95.36,95.26,1394803,95.3,2800.0,6600.0,us_market,finmb_39346182,NYSEArca,State Street SPDR Bloomberg High Yield Bond ETF,95.3,2661544,2193720,[],0.7799988,0.008254829,94.49 - 98.24,-2.9700012,-0.030232098,-2.3072183,,,,,2.6268,0.89542,0.89542,6970858500.0,CLOSED,,95.8206,-0.5506058,-0.005746215,96.4891,-1.219101,-0.012634598,15,0,America/New_York,EDT,-14400000,False,False,False,True,1196778600000,2,JNK,,,,,,,,,,,,,,,
Energy,energy,9,URA,Global X Uranium ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.57,28.661508,46.23028,58.25793,USD,0.69,46.05,45.9,PCX,62.28,37.18,4.57,0.787747,Global X Uranium ETF,46.0,0.360001,0.787747,-0.13026784,1788566364.0,46.0,-0.060001373,0.360001,1788552000,46.06,46.12,45.132 - 46.12,45.132,2652736,45.7,200.0,300.0,us_market,finmb_115488468,NYSEArca,Global X Uranium ETF,45.32,3292938,3805920,[],8.880001,0.2388381,37.18 - 62.28,-16.219997,-0.2604367,10.907782,,,29.00789,,6.46743,-10.25389,-10.25389,6418248700.0,CLOSED,1.5878439,43.0422,3.0178032,0.07011267,48.4773,-2.4172974,-0.049864523,15,0,America/New_York,EDT,-14400000,False,False,False,True,1288963800000,2,URA,,,,,,,,,,,,,,,
Energy,energy,10,XOP,State Street SPDR S&P Oil & Gas Exploration & Production ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.72,10.92538,3.50995,66.8735,USD,0.35,191.69,190.01,PCX,194.83,122.11,1.72,-0.8423,State Street SPDR S&P Oil & Gas,191.69,-1.62,-0.8423,0.51386696,1788565305.0,191.69,0.9799957,-1.62,1788552000,190.71,191.6,188.2 - 191.6,188.2,1480621,192.33,100.0,300.0,us_market,finmb_27776185,NYSEArca,State Street SPDR S&P Oil & Gas Exploration & Production ETF,191.05,3264638,2338210,[],68.600006,0.5617886,122.11 - 194.83,-4.119995,-0.021146616,48.193336,,1.39,11.026562,0.0072271614,50.94713,15.76976,15.76976,3986409220.0,CLOSED,17.29551,173.5728,17.137207,0.0987321,158.44466,32.26535,0.20363799,15,0,America/New_York,EDT,-14400000,False,False,False,True,1150983000000,2,XOP,USD,70500000.0,96.741,1.9713463,,,-0.01,-19071.002,,,,,,,
