sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_exchange,screen_ask,screen_bid,screen_net_expense_ratio,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_regular_market_change_percent,screen_symbol,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_dividend_date,screen_ipo_expected_date,screen_display_name,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_prev_name,screen_name_change_date
Financials,financial-services,1,XLF,State Street Financial Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.4,16.363934,12.03122,34.82752,USD,PCX,58.15,58.05,0.08,58.6,47.67,1.4,USD,State Street Financial Select S,58.48,-0.460003,-0.785524,0.6540466,1788566372.0,58.48,0.38000107,-0.460003,1788552000,58.1,58.38,57.92 - 58.38,57.92,26249596,58.56,14100,57000,us_market,finmb_8795483,NYSEArca,State Street Financial Select Sector SPDR ETF,58.04,32439049,27437610,[],10.43,0.21879591,47.67 - 58.6,-0.5,-0.0085324235,9.395599,0.58,16.47452,0.009904371,6.2588,12.25871,12.25871,54592369000.0,CLOSED,3.526658,883444992.0,34.017,56.8584,1.2416,0.021836704,53.4877,4.612297,0.086230986,1.7079695,15,0,America/New_York,EDT,-14400000,False,False,False,True,914337000000,2,-0.785524,XLF,,,,,,,,,,
Financials,financial-services,2,MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,6.18811,0.00646,USD,PCX,100.54,100.52,0.36,100.82,100.28,4.18,,PIMCO Enhanced Short Maturity A,100.49,0.0199966,0.0198972,-0.029843593,1788566343.0,100.49,-0.02999878,0.0199966,1788552000,100.52,100.53,100.52 - 100.53,100.52,1517573,100.5,12000,28100,us_market,finmb_79688203,NYSEArca,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,100.53,1502117,1368560,[],0.23999786,0.0023932776,100.28 - 100.82,-0.30000305,-0.0029756303,0.11951923,0.0,,0.0,2.82227,1.01777,1.01777,17526976500.0,CLOSED,,,,100.6358,-0.11580658,-0.0011507493,100.5566,-0.036605835,-0.00036403214,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1258468200000,2,0.0198972,MINT,1487347140.0,1487696400.0,,,,,,,,
Financials,financial-services,3,BINC,iShares Flexible Income Active ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.54,50.0,,,USD,PCX,51.69,51.53,0.4,53.51,51.54,5.59,,iShares Flexible Income Active ,51.66,0.0299988,0.0580809,-0.038700577,1788566359.0,51.66,-0.020000458,0.0299988,1788552000,51.68,51.71,51.65 - 51.71,51.65,1622681,51.65,800,1100,us_market,finmb_1829362433,NYSEArca,iShares Flexible Income Active ETF,51.69,1791768,2230480,[],0.13999939,0.002716325,51.54 - 53.51,-1.829998,-0.03419918,-2.8388798,0.0,49.435623,0.0,1.49914,0.35119,0.35119,16661741600.0,CLOSED,1.0454,,,52.0192,-0.33919907,-0.0065206513,52.43655,-0.75654984,-0.014427911,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1684848600000,2,0.0580809,BINC,,,,,,,,,,
Financials,financial-services,4,VFH,Vanguard Financials Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.65,15.954052,14.05533,35.22322,USD,PCX,143.1,140.91,0.09,143.2,116.67,1.65,,Vanguard Financials ETF,142.9,-1.03999,-0.726811,0.59837437,1788566183.0,142.9,0.84999084,-1.03999,1788552000,142.05,142.49,141.665 - 142.49,141.665,392641,143.09,100,200,us_market,finmb_22939085,NYSEArca,Vanguard Financials Index Fund ETF Shares,141.97,501993,500940,[],25.380005,0.21753669,116.67 - 143.2,-1.1499939,-0.008030684,9.0929985,,16.277191,,6.60892,12.01564,12.01564,14766520300.0,CLOSED,8.726936,,,139.1552,2.894806,0.020802716,130.96155,11.088455,0.08466955,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1075473000000,2,-0.726811,VFH,,,,,,,,,,
Financials,financial-services,5,SPHY,State Street SPDR Portfolio High Yield Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,7.39,59.41770647653,13.56018,5.83563,USD,PCX,23.19,23.15,0.05,23.99,23.02,7.19,,State Street SPDR Portfolio Hig,23.18,-0.0100002,-0.0431602,0.086357765,1788566358.0,23.18,0.020000458,-0.0100002,1788552000,23.16,23.18,23.15 - 23.18,23.15,2687874,23.17,54600,95600,us_market,finmb_209210880,NYSEArca,State Street SPDR Portfolio High Yield Bond ETF,23.17,5277404,4027590,[],0.13999939,0.0060816417,23.02 - 23.99,-0.8299999,-0.034597747,-2.7707815,0.0,57.862614,0.0,2.71872,1.00345,1.00345,12023594000.0,CLOSED,0.40025845,,,23.2922,-0.13220024,-0.0056757303,23.48365,-0.32365036,-0.013781944,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1340112600000,2,-0.0431602,SPHY,,,,,,,,,,
Financials,financial-services,6,BOND,PIMCO Active Bond Exchange-Traded Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,6.32956,-0.59027,USD,NYQ,90.8,89.11,0.54,94.68,89.71,5.25,,PIMCO Active Bond Exchange-Trad,90.08,-0.0100021,-0.0111073,0.044425715,1788566201.0,90.08,0.040000916,-0.0100021,1788552051,90.04,90.15,90.005 - 90.15,90.005,514676,90.05,1300,2600,us_market,finmb_171935623,NYSE,PIMCO Active Bond Exchange-Traded Fund,90.08,573579,648090,[],0.33000183,0.0036785402,89.71 - 94.68,-4.6399994,-0.049007174,-3.7005365,0.0,1.5936283,0.0,0.01699,-0.6457,-0.6457,8590745600.0,CLOSED,56.5,,,90.916,-0.87599945,-0.009635261,92.3536,-2.3135986,-0.025051527,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1330612200000,2,-0.0111073,BOND,,,,,,,,,,
Financials,financial-services,7,KBWB,Invesco KBW Bank ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.95,13.98797,-1.18149,37.87595,USD,NGM,99.6,98.7,0.35,100.61,73.32,1.95,,Invesco KBW Bank ETF,97.45,-0.010002136,-0.0102417935,-0.20481779,1788566111.0,97.45,-0.20000458,-0.010002136,1788552001,97.65,97.98,97.09 - 97.98,97.09,944637,97.66,27,27,us_market,finmb_142432074,NasdaqGM,Invesco KBW Bank ETF,97.135,1722212,1163330,[],24.330002,0.3318331,73.32 - 100.61,-2.959999,-0.029420525,27.647055,,14.325384,,14.42436,10.00048,10.00048,6766699500.0,CLOSED,6.816571,,,96.5574,1.092598,0.011315527,87.65515,9.99485,0.11402468,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1320154200000,2,-0.0102417935,KBWB,,,1498780800.0,,,,,,,
Financials,financial-services,8,IYF,iShares U.S. Financials ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.4,15.012761,15.2323,31.45921,USD,PCX,139.55,135.99,0.37,139.09,113.62,1.4,,iShares U.S. Financial ETF,138.02,-0.919998,-0.662155,0.0,1788564604.0,138.02,0.0,-0.919998,1788552000,138.02,138.41,137.61 - 138.41,137.61,1061937,138.94,100,100,us_market,finmb_8796397,NYSEArca,iShares U.S. Financials ETF,137.96,395741,471980,[],24.400002,0.21475093,113.62 - 139.09,-1.0699921,-0.007692804,10.957468,,15.183272,,6.72224,11.42777,11.42777,4285226750.0,CLOSED,9.090267,,,134.9432,3.0767975,0.022800684,127.1986,10.8214035,0.085074864,,15,0,America/New_York,EDT,-14400000,False,False,False,True,959347800000,2,-0.662155,IYF,,,,,,,,,,
Financials,financial-services,9,EUFN,iShares MSCI Europe Financials ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.92,12.85347,26.17723,19.22486,USD,NGM,42.42,41.89,0.49,43.07,32.91,3.92,,iShares MSCI Europe Financials ,43.0,-0.13000107,-0.3018367,0.13973306,1788565735.0,43.0,0.060001373,-0.13000107,1788552001,42.94,43.03,42.8 - 43.03,42.8,1105952,43.07,5,5,us_market,finmb_85213810,NasdaqGM,iShares MSCI Europe Financials ETF,42.88,1368533,1153860,[],10.029999,0.30477056,32.91 - 43.07,-0.13000107,-0.003018367,27.988075,,13.103396,,17.13708,12.33119,12.33119,4243689470.0,CLOSED,3.2770128,,,41.2086,1.7313995,0.042015493,37.94455,4.995449,0.1316513,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1265207400000,2,-0.3018367,EUFN,,,1482883200.0,,,,,,,
Financials,financial-services,10,KRE,State Street SPDR S&P Regional Banking ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.17,12.603983,-7.67571,39.33826,USD,PCX,75.27,75.21,0.35,78.35,57.55,2.17,,State Street SPDR S&P Regional ,74.86,0.399994,0.534251,-0.5447005,1788565568.0,74.86,-0.40999603,0.399994,1788552000,75.27,75.495,74.53 - 75.495,74.53,12787251,74.87,9200,9400,us_market,finmb_27776900,NYSEArca,State Street SPDR S&P Regional Banking ETF,74.58,13295476,11245370,[],17.719997,0.30790612,57.55 - 78.35,-3.0800018,-0.03931081,14.880955,0.0,12.896977,0.0,14.81643,6.36765,6.36765,4010872830.0,CLOSED,5.836251,,,75.629,-0.35900116,-0.004746872,69.80695,5.463043,0.0782593,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1150983000000,2,0.534251,KRE,,,,,,,,,,
