sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_regular_market_change_percent,screen_net_expense_ratio,screen_fullday_change,screen_fullday_change_percent,screen_ask,screen_bid,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_pe,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_exchange,screen_short_name,screen_fullday_price,screen_symbol,screen_quote_source_name,screen_trailing_annual_dividend_rate,screen_trailing_annual_dividend_yield,screen_financial_currency,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_dividend_date,screen_ipo_expected_date,screen_forward_pe,screen_eps_forward,screen_prev_name,screen_name_change_date
Healthcare,healthcare,1,XLV,State Street Health Care Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.49,30.469226,1.98855,25.93233,USD,176.6,133.73,1.49,165.728,5.722,0.034526456,155.3749,16.075104,0.10346011,15,0,America/New_York,EDT,-14400000,False,False,False,-1.04467,0.08,-1.81,-1.04467,171.38,170.97,True,914337000000,2,1.0090381,1788566301.0,173.18,1.7299957,-1.81,1788552000,171.45,172.5325,171.235 - 172.5325,171.235,6068699,173.26,500,100,us_market,finmb_8795490,NYSEArca,State Street Health Care Select Sector SPDR ETF,171.39,9563974,6396000,[],37.72,0.2820609,133.73 - 176.6,-5.150009,-0.029161999,24.374317,30.631807,11.07815,14.49816,14.49816,43909784000.0,CLOSED,5.597123,PCX,State Street Health Care Select,173.18,XLV,,,,,,,,,,,,,
Healthcare,healthcare,2,VHT,Vanguard Health Care Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.48,28.686173,2.46781,20.49989,USD,330.75,249.57,1.48,311.5678,10.092194,0.032391645,289.9853,31.674713,0.109228685,15,0,America/New_York,EDT,-14400000,False,False,False,-0.966744,0.09,-3.13998,-0.966744,321.55,321.0,True,1075473000000,2,0.8083088,1788566010.0,324.26,2.600006,-3.13998,1788552000,321.66,323.47,321.195 - 323.47,321.195,185537,324.8,80,240,us_market,finmb_22939088,NYSEArca,Vanguard Health Care Index Fund ETF Shares,321.98,247533,205920,[],72.09,0.2888568,249.57 - 330.75,-9.089996,-0.027482983,25.291157,30.271954,11.94137,14.74611,14.74611,21929510900.0,CLOSED,10.625677,PCX,Vanguard Health Care ETF,324.26,VHT,,,,,,,,,,,,,
Healthcare,healthcare,3,XBI,State Street SPDR S&P Biotech ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,,,7.49687,-20.53083,USD,169.89,92.64,0.35,158.081,5.729004,0.03624094,135.36955,28.440445,0.21009484,15,0,America/New_York,EDT,-14400000,False,False,False,-0.346762,0.35,-0.570007,-0.346762,163.65,162.4,True,1139236200000,2,-0.21976718,1788566378.0,163.45,-0.3600006,-0.570007,1788552000,163.81,164.345,162.51 - 164.345,162.51,3752577,164.38,100,400,us_market,finmb_26755274,NYSEArca,State Street SPDR S&P Biotech ETF,162.74,8889125,7532520,[],71.17,0.76824266,92.64 - 169.89,-6.080002,-0.035787873,73.47242,,33.41228,18.99733,18.99733,11404576800.0,CLOSED,,PCX,State Street SPDR S&P Biotech E,163.45,XBI,,,,,,,,,,,,,
Healthcare,healthcare,4,IBB,iShares Biotechnology ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,0.2,26.116479,3.61853,0.99064,USD,217.12,138.79,0.2,197.8782,14.041794,0.0709618,177.53745,34.382553,0.19366367,15,0,America/New_York,EDT,-14400000,False,False,False,-0.8839621,0.44,-1.8899994,-0.8839621,197.12,185.09,True,981988200000,2,0.47659236,1788566165.0,212.93,1.0099945,-1.8899994,1788552001,211.92,213.225,211.1773 - 213.225,211.1773,710162,213.81,1,1,us_market,finmb_8797590,NasdaqGM,iShares Biotechnology ETF,211.58,1586398,1353940,[],73.130005,0.5269112,138.79 - 217.12,-5.199997,-0.023949876,49.01905,26.475025,23.97473,21.34356,21.34356,10474939400.0,CLOSED,8.004525,NGM,iShares Biotechnology ETF,212.93,IBB,Delayed Quote,,,,,,,,,,,,
Healthcare,healthcare,5,ICVT,iShares Convertible Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.88,12.345679012345679,15.28661,-0.29309,USD,126.56,94.41,1.4,115.8684,-1.0884018,-0.00939343,109.50215,5.2778473,0.048198573,15,0,America/New_York,EDT,-14400000,False,False,False,0.657722,0.2,0.75,0.657722,121.06,109.56,True,1433424600000,2,-0.8015318,1788565836.0,113.86,-0.91999817,0.75,1788552000,114.78,114.82,114.01 - 114.82,114.01,677857,114.03,700,600,us_market,finmb_285620683,Cboe US,iShares Convertible Bond ETF,114.11,654700,509850,[],20.369995,0.21576098,94.41 - 126.56,-11.779999,-0.093078375,20.301855,,16.66967,-5.42494,-5.42494,7808250900.0,CLOSED,,BTS,iShares Convertible Bond ETF,113.86,ICVT,Delayed Quote,0.0,0.0,,,,,,,,,,
Healthcare,healthcare,6,NEAR,iShares Short Duration Bond Active ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,,,7.32752,0.33746,USD,51.37,50.25,4.44,50.501,-0.17099762,-0.0033860244,50.83265,-0.5026474,-0.009888278,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,0.25,0.0,0.0,50.76,45.5,True,1380807000000,2,-0.028020933,1788565729.0,50.3159,-0.014102936,0.0,1788552000,50.33,50.34,50.3075 - 50.34,50.3075,453972,50.33,1500,4100,us_market,finmb_217067183,Cboe US,iShares Short Duration Bond Active ETF,50.32,574695,705190,[],0.08000183,0.0015920763,50.25 - 51.37,-1.0399971,-0.020245224,-1.7759562,,1.31615,0.53456,0.53456,5106520600.0,CLOSED,,BTS,iShares Short Duration Bond Act,50.3159,NEAR,,0.0,0.0,,,,,,,,,,
Healthcare,healthcare,7,IXJ,iShares Global Healthcare ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.39,27.525461,3.49318,19.4907,USD,107.69,85.36,1.39,101.9126,2.9874039,0.029313391,97.5912,7.3087997,0.07489199,15,0,America/New_York,EDT,-14400000,False,False,False,-1.0844,0.38,-1.15,-1.0844,110.86,98.91,True,1006785000000,2,0.0,1788564602.0,104.9,0.0,-1.15,1788552000,104.9,105.23,104.67 - 105.23,104.67,55845,106.05,300,100,us_market,finmb_8798083,NYSEArca,iShares Global Healthcare ETF,104.98,267990,189850,[],19.54,0.22891285,85.36 - 107.69,-2.790001,-0.025907706,18.813002,27.69974,8.04826,11.19071,11.19071,4282349570.0,CLOSED,3.7870393,PCX,iShares Global Healthcare ETF,104.9,IXJ,,0.973,0.009174917,USD,35850000.0,76.962,1.3630104,,,,,,
Healthcare,healthcare,8,IYH,iShares U.S. Healthcare ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.11,30.422878,2.05169,23.40002,USD,74.59,56.44,1.11,69.9278,2.4721985,0.035353586,65.33145,7.06855,0.10819521,15,0,America/New_York,EDT,-14400000,False,False,False,-1.02529,0.37,-0.75,-1.02529,72.79,71.56,True,961162200000,2,0.85634685,1788565685.0,73.02,0.6199951,-0.75,1788552000,72.4,72.76,72.29 - 72.76,72.29,256249,73.15,300,900,us_market,finmb_8796398,NYSEArca,iShares U.S. Healthcare ETF,72.39,713647,631020,[],15.960003,0.28277823,56.44 - 74.59,-2.1899948,-0.029360436,24.398624,30.583403,11.28498,14.51843,14.51843,3863850500.0,CLOSED,2.3672972,PCX,iShares U.S. Healthcare ETF,73.02,IYH,,,,,,,,,,,,,
Healthcare,healthcare,9,FLXR,TCW Flexible Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,5.4,33.333333333333336,,,USD,39.97,38.582,6.01,38.9416,-0.28160095,-0.0072313654,39.301334,-0.64133453,-0.01631839,15,0,America/New_York,EDT,-14400000,False,False,False,0.0,0.4,0.0,0.0,40.02,38.65,True,1719235800000,2,0.077596426,1788566196.0,38.69,0.02999878,0.0,1788552074,38.66,38.7,38.64 - 38.7,38.64,319527,38.66,1900,400,us_market,finmb_562151110,NYSE,TCW Flexible Income ETF,38.7,417538,396170,[],0.077999115,0.0020216452,38.582 - 39.97,-1.3100014,-0.032774616,-3.0348659,31.743685,1.7701,0.45419,0.45419,3620422400.0,CLOSED,1.21788,NYQ,TCW Flexible Income ETF,38.69,FLXR,,0.0,0.0,,,,,,,,,,
Healthcare,healthcare,10,FHLC,Fidelity MSCI Health Care Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.23,29.967036,2.47924,20.37309,USD,85.46,64.3,1.23,80.5258,2.6141968,0.032464087,74.88535,8.254646,0.11023045,15,0,America/New_York,EDT,-14400000,False,False,False,-1.02381,0.084,-0.860001,-1.02381,83.1,83.0,True,1382621400000,2,-0.04811272,1788566201.0,83.1,-0.040000916,-0.860001,1788552000,83.14,83.505,83.05 - 83.505,83.05,302883,84.0,400,200,us_market,finmb_243638580,NYSEArca,Fidelity MSCI Health Care Index ETF,83.15,210560,206870,[],18.839996,0.29300147,64.3 - 85.46,-2.3199997,-0.0271472,25.760101,30.115551,12.0649,14.76324,14.76324,3476249340.0,CLOSED,2.7607,PCX,Fidelity MSCI Health Care Index,83.1,FHLC,,0.0,0.0,,,,,,,,,,
