sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_exchange,screen_ask,screen_bid,screen_net_expense_ratio,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_regular_market_change_percent,screen_symbol,screen_dividend_date,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_eps_forward,screen_forward_pe,screen_ipo_expected_date,screen_display_name,screen_prev_name,screen_name_change_date,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate
Industrials,industrials,1,XLI,State Street Industrial Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.18,28.433324,18.0251,20.95729,USD,PCX,175.27,175.01,0.08,188.19,147.14,1.18,USD,State Street Industrial Select ,174.17,0.710007,0.406741,-0.6276066,1788566262.0,174.17,-1.1000061,0.710007,1788552000,175.27,175.775,174.1 - 175.775,174.1,5807775,174.56,200.0,300.0,us_market,finmb_8795505,NYSEArca,State Street Industrial Select Sector SPDR ETF,174.34,7066506,7516130,[],28.130005,0.1911785,147.14 - 188.19,-12.919998,-0.06865401,15.865671,1.24,28.456053,0.007103575,13.5179,1.39439,1.39439,31947403300.0,CLOSED,6.1593223,136626000.0,98.382,181.1888,-5.9187927,-0.032666437,170.74664,4.523361,0.026491655,1.781525,15,0,America/New_York,EDT,-14400000,False,False,False,True,914337000000,2,0.406741,XLI,,,,,,,,,,,,
Industrials,industrials,2,FBND,Fidelity Total Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.89,7.1301247771836,6.84211,-0.34811,USD,PCX,45.25,44.52,0.36,46.86,44.594,4.73,,Fidelity Total Bond ETF,44.74,0.0,0.0,0.06710488,1788566286.0,44.74,0.030002594,0.0,1788552000,44.71,44.75,44.672 - 44.75,44.672,3707417,44.71,19700.0,4000.0,us_market,finmb_270037181,NYSEArca,Fidelity Total Bond ETF,44.7,3039509,2816060,[],0.115997314,0.0026011865,44.594 - 46.86,-2.1500015,-0.04588138,-3.808087,0.0,8.856175,0.0,0.09864,-0.56936,-0.56936,28155535400.0,CLOSED,5.0484543,,,45.0648,-0.35480118,-0.007873133,45.73545,-1.0254517,-0.022421375,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1412861400000,2,0.0,FBND,,,,,,,,,,,,
Industrials,industrials,3,ITA,iShares U.S. Aerospace & Defense ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.47,34.662045,14.27192,9.35039,USD,BTS,226.72,224.23,0.37,256.6,194.63,0.47,,iShares U.S. Aerospace & Defens,225.15,-0.369995,-0.163729,-0.20389464,1788566394.0,225.15,-0.4600067,-0.369995,1788552000,225.61,226.15,224.435 - 226.15,224.435,564213,225.98,200.0,100.0,us_market,finmb_32993612,Cboe US,iShares U.S. Aerospace & Defense ETF,225.34,664606,660230,[],30.979996,0.15917379,194.63 - 256.6,-30.990005,-0.12077165,14.146221,,34.246128,,6.51836,-3.00107,-3.00107,13628640300.0,CLOSED,6.587898,,,239.9204,-14.310394,-0.059646428,229.44585,-3.835846,-0.01671787,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1146835800000,2,-0.163729,ITA,,,,,,,,,,,,
Industrials,industrials,4,PAVE,Global X U.S. Infrastructure Development ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.79,28.129395,30.88295,36.26288,USD,BTS,55.34,54.89,0.47,60.43,45.44,0.79,,Global X U.S. Infrastructure De,54.69,0.470001,0.859392,-0.8520689,1788566352.0,54.69,-0.47000122,0.470001,1788552000,55.16,55.255,54.66 - 55.255,54.66,1191853,54.69,1000.0,1200.0,us_market,finmb_415556335,Cboe US,Global X U.S. Infrastructure Development ETF,54.72,1890484,1809740,[],9.720001,0.21390848,45.44 - 60.43,-5.2700005,-0.087208346,18.369102,,28.36595,,14.68662,-2.7068,-2.7068,13504796700.0,CLOSED,1.944585,,,56.8866,-1.7266006,-0.030351622,53.858025,1.3019753,0.024174212,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1488983400000,2,0.859392,PAVE,,,,,,,,,,,,
Industrials,industrials,5,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.8,29.19708,21.36002,28.35459,USD,NGM,188.6,186.41,0.56,199.99,143.3,0.8,,First Trust NASDAQ Clean Edge S,177.48,1.4500122,0.81672424,-0.843628,1788566327.0,177.48,-1.5100098,1.4500122,1788552001,178.99,179.68,177.89 - 179.68,177.89,380674,177.54,2.0,2.0,us_market,finmb_79682012,NasdaqGM,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,178.1,651126,489220,[],35.690002,0.24905793,143.3 - 199.99,-21.0,-0.10500525,23.740065,,29.295282,,17.02654,-7.15269,-7.15269,11838994400.0,CLOSED,6.1098576,,,181.9328,-2.9427948,-0.016175175,174.40935,4.580658,0.026263833,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1258468200000,2,0.81672424,GRID,1483056000.0,,,,,,,,,,,
Industrials,industrials,6,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.1,26.469031,31.64293,33.16576,USD,NGM,123.89,123.36,0.69,135.05,89.5,0.1,,First Trust RBA American Indust,107.62,1.0800018,1.0033462,-1.0117719,1788566369.0,107.62,-1.0999985,1.0800018,1788552001,108.72,109.1099,107.67 - 109.1099,107.67,733107,107.64,2.0,2.0,us_market,finmb_256655888,NasdaqGM,First Trust RBA American Industrial RenaissanceTM ETF,107.75,708307,882580,[],19.220001,0.21474862,89.5 - 135.05,-26.330002,-0.19496484,18.173908,,26.591324,,10.16208,-16.19025,-16.19025,9450259500.0,CLOSED,4.0885515,,,119.7658,-11.045799,-0.09222832,116.3824,-7.6623993,-0.06583813,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1394544600000,2,1.0033462,AIRR,1490918400.0,,,,,,,,,,,
Industrials,industrials,7,VIS,Vanguard Industrials Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.92,29.420418,22.37282,20.70322,USD,PCX,339.58,334.46,0.09,362.21,282.03,0.92,USD,Vanguard Industrials ETF,333.66,1.82999,0.54646,-0.9058204,1788565144.0,333.66,-3.0499878,1.82999,1788552000,336.71,337.35,334.68 - 337.35,334.68,77667,334.88,80.0,560.0,us_market,finmb_22939114,NYSEArca,Vanguard Industrials Index Fund ETF Shares,334.76,87369,103100,[],54.679993,0.19388005,282.03 - 362.21,-25.5,-0.07040115,15.875149,2.202,28.755983,0.0065754894,12.99317,-1.26051,-1.26051,8587358700.0,CLOSED,11.709215,24431600.0,187.867,348.5494,-11.8394165,-0.033967685,330.4944,6.2156067,0.018806996,1.7922785,15,0,America/New_York,EDT,-14400000,False,False,False,True,1096464600000,2,0.54646,VIS,,,,,,,,,,,,
Industrials,industrials,8,PPA,Invesco Aerospace & Defense ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.38,32.938076,18.38341,7.17891,USD,PCX,165.85,163.45,0.58,186.3,144.29,0.38,USD,Invesco Aerospace & Defense ETF,164.92,-0.390015,-0.235559,-0.15740073,1788566284.0,164.92,-0.2599945,-0.390015,1788552000,165.18,165.99,164.575 - 165.99,164.575,175585,165.57,100.0,600.0,us_market,finmb_25304304,NYSEArca,Invesco Aerospace & Defense ETF,165.18,188926,197310,[],20.89,0.14477788,144.29 - 186.3,-21.12001,-0.11336559,11.986446,0.44,32.0023,0.0026574861,6.98471,-5.75027,-5.75027,8030932000.0,CLOSED,5.161504,15150000.0,75.015,175.1008,-9.920807,-0.05665769,170.5067,-5.326706,-0.03124045,2.2019596,15,0,America/New_York,EDT,-14400000,False,False,False,True,1130333400000,2,-0.235559,PPA,,,,,,,,,,,,
Industrials,industrials,9,SHLD,Global X Defense Tech ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.65,28.977108,,,USD,PCX,63.67,62.8,0.5,78.493,57.89,0.65,,Global X Defense Tech ETF,63.64,-0.77,-1.20784,1.0479515,1788566307.0,63.64,0.65999985,-0.77,1788552000,62.98,63.3699,62.79 - 63.3699,62.79,764160,63.75,400.0,200.0,us_market,finmb_1838113289,NYSEArca,Global X Defense Tech ETF,63.33,1195609,765550,[],5.09,0.08792538,57.89 - 78.493,-15.512997,-0.19763543,0.4786253,,27.870773,,1.21469,-2.9153,-2.9153,7239792100.0,CLOSED,2.2597148,,,64.4014,-1.4213982,-0.022070922,68.12865,-5.1486473,-0.07557243,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1694698200000,2,-1.20784,SHLD,,1527760807.0,1527760807.0,-9.78,-6.439673,,,,,,,
Industrials,industrials,10,XAR,State Street SPDR S&P Aerospace & Defense ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.31,33.806626,23.65133,2.38029,USD,PCX,255.64,251.78,0.35,297.79,213.72,0.31,,State Street SPDR S&P Aerospace,252.74,-1.00999,-0.397745,-0.07116585,1788566264.0,252.74,-0.17999268,-1.00999,1788552000,252.92,255.0,251.53 - 255.0,251.53,195303,253.93,40.0,40.0,us_market,finmb_141049103,NYSEArca,State Street SPDR S&P Aerospace & Defense ETF,253.0,212679,208910,[],39.199997,0.18341754,213.72 - 297.79,-44.87001,-0.15067668,16.05562,0.0,33.332184,0.0,6.56556,-10.89977,-10.89977,5850784800.0,CLOSED,7.5878615,,,272.8824,-19.962387,-0.073153816,266.44846,-13.528458,-0.050773263,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1317303000000,2,-0.397745,XAR,,,,,,,,,,,,
