sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_regular_market_change_percent,screen_dividend_yield,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_pe,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_ask,screen_bid,screen_net_expense_ratio,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_symbol,screen_financial_currency,screen_trailing_annual_dividend_rate,screen_trailing_annual_dividend_yield,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_ipo_expected_date,screen_dividend_date,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_display_name,screen_prev_name,screen_name_change_date
Materials,basic-materials,1,GDX,VanEck Gold Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.64,12.83697,10.23739,-9.50732,USD,-2.19726,0.64,VanEck Gold Miners ETF,99.33,-2.23,-2.19726,True,1148304600000,2,0.070521556,1788566398.0,99.33,0.069999695,-2.23,1788552000,99.26,100.1,98.02 - 100.1,98.02,21413383,101.49,500.0,200.0,us_market,finmb_27307407,NYSEArca,VanEck Gold Miners ETF,98.75,23715192,25282000,[],32.770004,0.49285614,66.49 - 117.18,-17.919998,-0.1529271,47.620464,12.7394285,14.68263,10.58177,10.58177,30543091700.0,CLOSED,7.7915583,84.4138,14.846199,0.17587407,89.8633,9.396706,0.10456667,15,0,America/New_York,EDT,-14400000,False,False,False,99.47,99.09,0.51,PCX,117.18,66.49,GDX,,,,,,,,,,,,,,,,
Materials,basic-materials,2,GDXJ,VanEck Junior Gold Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.07,12.841916,7.8007,-21.37088,USD,-2.49377,2.07,VanEck Junior Gold Miners ETF,131.21,-3.3,-2.49377,True,1257949800000,2,1.6895357,1788566307.0,131.21,2.180008,-3.3,1788552000,129.03,130.09,127.51 - 130.09,127.51,3332518,132.33,100.0,100.0,us_market,finmb_79345080,NYSEArca,VanEck Junior Gold Miners ETF,128.46,5457876,4589400,[],43.92,0.51603806,85.11 - 157.49,-28.460007,-0.18070993,49.374855,12.744136,12.28224,8.27283,8.27283,9630824400.0,CLOSED,10.124657,109.9476,19.082397,0.17355901,118.1886,10.8414,0.09172966,15,0,America/New_York,EDT,-14400000,False,False,False,129.2,128.55,0.52,PCX,157.49,85.11,GDXJ,,,,,,,,,,,,,,,,
Materials,basic-materials,3,XLB,State Street Materials Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.61,24.588149,12.44029,27.46714,USD,-0.342076,1.61,State Street Materials Select S,52.84,-0.18,-0.342076,True,914337000000,2,0.7627794,1788566137.0,52.84,0.40000153,-0.18,1788552000,52.44,52.67,51.975 - 52.67,51.975,10873762,52.62,22600.0,9100.0,us_market,finmb_8795509,NYSEArca,State Street Materials Select Sector SPDR ETF,52.16,11377017,11509280,[],10.404999,0.24753179,42.035 - 54.19,-1.75,-0.03229378,13.950455,24.471483,17.202,3.38651,3.38651,8752943100.0,CLOSED,2.1429024,51.8228,0.61719894,0.011909795,50.07075,2.3692474,0.047317993,15,0,America/New_York,EDT,-14400000,False,False,False,52.63,52.18,0.08,PCX,54.19,42.035,XLB,USD,1.39,0.026415812,71923696.0,79.114,0.66284096,,,,,,,,,,
Materials,basic-materials,4,COPX,Global X Copper Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.07,17.076503,9.29965,24.01101,USD,-0.646571,2.07,Global X Copper Miners ETF,90.8,-0.589996,-0.646571,True,1271770200000,2,0.15442245,1788566172.0,90.8,0.13999939,-0.589996,1788552000,90.66,91.175,89.76 - 91.175,89.76,1330401,91.25,100.0,200.0,us_market,finmb_102327242,NYSEArca,Global X Copper Miners ETF,90.05,3093903,3127380,[],39.840004,0.7839434,50.82 - 99.99,-9.329994,-0.093309276,76.31272,16.671934,29.78442,6.26496,6.26496,8443984900.0,CLOSED,5.4378815,83.0614,7.5986023,0.09148175,80.7481,9.911903,0.122750916,15,0,America/New_York,EDT,-14400000,False,False,False,91.35,90.0,0.65,PCX,99.99,50.82,COPX,,,,,,,,,,,,,,,,
Materials,basic-materials,5,VCRB,Vanguard Core Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.59,37.216226,,,USD,0.026457585,4.59,Vanguard Core Bond ETF,75.6,0.019996643,0.026457585,True,1702564200000,2,0.0,1788564604.0,75.6,0.0,0.019996643,1788552000,75.6,75.665,75.56 - 75.665,75.56,509970,75.58,2.0,3.0,us_market,finmb_1858476233,NasdaqGM,Vanguard Core Bond ETF,75.56,556755,833160,[],0.1989975,0.0026391891,75.401 - 79.18,-3.5800018,-0.04521346,-3.6819994,37.06913,0.06504,-0.60034,-0.60034,7708269600.0,CLOSED,2.0394328,76.2392,-0.6391983,-0.008384116,77.35649,-1.7564926,-0.022706468,15,0,America/New_York,EDT,-14400000,False,False,False,76.1,76.0,0.1,NGM,79.18,75.401,VCRB,,,,,,,2023-12-14,,,,,,,,,
Materials,basic-materials,6,SIL,Global X Silver Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.04,18.726592,1.92403,-18.34289,USD,-2.04223,1.04,Global X Silver Miners ETF,100.97,-2.07,-2.04223,True,1271770200000,2,1.6920136,1788566309.0,100.97,1.6800003,-2.07,1788552000,99.29,100.4,98.17 - 100.4,98.17,992429,101.36,300.0,100.0,us_market,finmb_102327218,NYSEArca,Global X Silver Miners ETF,99.25,1262765,1194950,[],37.52,0.6074146,61.77 - 119.24,-19.949997,-0.16730961,57.87884,18.98278,17.18804,4.96582,4.96582,5261147600.0,CLOSED,5.23053,84.3912,14.898804,0.17654452,89.621,9.668999,0.10788764,15,0,America/New_York,EDT,-14400000,False,False,False,101.0,99.1,0.65,PCX,119.24,61.77,SIL,,,,,,,,,,,,,,,,
Materials,basic-materials,7,XME,State Street SPDR S&P Metals & Mining ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.32,20.491803,21.50368,34.9432,USD,0.202742,0.32,State Street SPDR S&P Metals & ,117.86,0.240005,0.202742,True,1150983000000,2,-0.6407032,1788566141.0,117.86,-0.76000214,0.240005,1788552000,118.62,119.18,117.33 - 119.18,117.33,801145,118.38,100.0,200.0,us_market,finmb_27776009,NYSEArca,State Street SPDR S&P Metals & Mining ETF,117.42,2078649,1623230,[],35.5,0.42709336,83.12 - 135.68,-17.05999,-0.12573697,41.079926,20.576803,14.13795,-5.55931,-5.55931,4885382700.0,CLOSED,5.764744,109.5084,9.111603,0.083204605,112.73565,5.8843536,0.052196033,15,0,America/New_York,EDT,-14400000,False,False,False,119.84,118.13,0.35,PCX,135.68,83.12,XME,,,,,,,,,,,,,,,,
Materials,basic-materials,8,VAW,Vanguard Materials Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.34,22.737608,13.66502,27.27151,USD,-0.283741,1.34,Vanguard Materials ETF,235.46,-0.669998,-0.283741,True,1075473000000,2,0.0,1788565812.0,235.46,0.0,-0.669998,1788551967,235.46,236.42,234.0434 - 236.42,234.0434,20816,236.13,200.0,200.0,us_market,finmb_22939102,NYSEArca,Vanguard Materials Index Fund ETF Shares,233.91,46971,37090,[],45.170013,0.23737462,190.29 - 245.26,-9.799988,-0.039957546,12.925041,24.01129,14.72136,1.96247,1.96247,4481057800.0,CLOSED,9.806221,231.2572,4.2028046,0.018173724,226.57014,8.889862,0.039236687,15,0,America/New_York,EDT,-14400000,False,False,False,238.42,232.55,0.09,PCX,245.26,190.29,VAW,,,,,,,,,,,,,,,,
Materials,basic-materials,9,SILJ,Amplify Junior Silver Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.77,20.682523,33.4551,-28.45254,USD,-2.19203,1.77,Amplify Junior Silver Miners ET,31.88,-0.709999,-2.19203,True,1354199400000,2,0.6313095,1788566338.0,31.88,0.19999886,-0.709999,1788552000,31.68,32.02,31.28 - 32.02,31.28,2647886,32.39,200.0,100.0,us_market,finmb_223194694,NYSEArca,Amplify Junior Silver Miners ETF,31.5,4210920,4032070,[],12.58,0.6586387,19.1 - 41.1,-9.419998,-0.22919704,62.71186,20.871805,13.47156,1.40744,1.40744,4132843260.0,CLOSED,1.517837,27.6804,3.9995995,0.1444921,29.7768,1.9032001,0.063915536,15,0,America/New_York,EDT,-14400000,False,False,False,31.88,31.61,0.69,PCX,41.1,19.1,SILJ,,0.0,0.0,,,,,,,,,,,,,
Materials,basic-materials,10,PICK,iShares MSCI Global Metals & Mining Producers ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.03,18.850141,10.05164,22.34686,USD,-0.18411,2.03,iShares MSCI Global Select Meta,65.06,-0.120003,-0.18411,True,1328193000000,2,0.0,1788564604.0,65.06,0.0,-0.120003,1788552000,65.06,65.31,64.6401 - 65.31,64.6401,236949,65.18,300.0,300.0,us_market,finmb_160289298,Cboe US,iShares MSCI Global Metals & Mining Producers ETF,64.65,805003,708120,[],23.619999,0.5699807,41.44 - 69.02,-3.959999,-0.057374664,55.200386,18.869553,28.2731,-0.71839,-0.71839,2583474690.0,CLOSED,3.4478824,60.8052,4.254799,0.06997426,58.79035,6.2696457,0.106644124,15,0,America/New_York,EDT,-14400000,False,False,False,66.56,63.43,0.39,BTS,69.02,41.44,PICK,,0.0,0.0,8350000.0,,,,,,,,,,,,
