sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_regular_market_change_percent,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_pe,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_ask,screen_bid,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_net_expense_ratio,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_symbol,screen_trailing_annual_dividend_rate,screen_trailing_annual_dividend_yield,screen_dividend_date,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_financial_currency,screen_ipo_expected_date,screen_display_name,screen_prev_name,screen_name_change_date
REIT,real-estate,1,VNQ,Vanguard Real Estate Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.6,31.191516,11.75091,40.38287,USD,-0.662122,False,False,False,True,1096464600000,2,0.5728005,1788566192.0,96.57,0.55000305,-0.640007,1788552000,96.02,96.785,95.95 - 96.785,95.95,4080806,96.66,2400,2900.0,us_market,finmb_22939711,NYSEArca,Vanguard Real Estate Index Fund ETF Shares,96.14,3122974,2682440,[],9.18,0.10571166,86.84 - 101.8,-5.7800064,-0.05677806,4.4490337,30.292395,11.1308,1.68362,1.68362,71970390000.0,CLOSED,3.1697724,98.247,-2.227005,-0.02266741,94.09525,1.9247437,0.02045527,15,0,America/New_York,EDT,-14400000,96.68,96.07,PCX,101.8,86.84,3.6,0.13,Vanguard Real Estate ETF,96.57,-0.640007,-0.662122,VNQ,,,,,,,,,,,
REIT,real-estate,2,SCHH,Schwab U.S. REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.8,30.826141,11.2769,41.22573,USD,-0.677678,False,False,False,True,1294929000000,2,-0.21322449,1788566362.0,23.4,-0.050001144,-0.16,1788552000,23.45,23.665,23.445 - 23.665,23.445,7293824,23.61,114700,20900.0,us_market,finmb_118204473,NYSEArca,Schwab U.S. REIT ETF,23.51,6329615,5647330,[],2.8200016,0.13669422,20.63 - 25.03,-1.5799999,-0.06312425,9.069765,30.449581,14.24583,1.22211,1.22211,11197114400.0,CLOSED,0.77012557,24.08,-0.62999916,-0.026162757,22.73275,0.7172508,0.031551432,15,0,America/New_York,EDT,-14400000,23.66,23.4,PCX,25.03,20.63,2.8,0.07,Schwab U.S. REIT ETF,23.4,-0.16,-0.677678,SCHH,0.0,0.0,,,,,,,,,
REIT,real-estate,3,CGCP,Capital Group Core Plus Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.13,10.989010989010989,,,USD,-0.0913263,False,False,False,True,1645713000000,2,0.09140977,1788566393.0,21.9,0.020000458,-0.0200005,1788552000,21.88,21.92,21.88 - 21.92,21.88,1036828,21.9,6600,1000.0,us_market,finmb_1679217578,NYSEArca,Capital Group Core Plus Income ETF,21.91,1441242,1392770,[],0.03999901,0.0018314564,21.84 - 23.005,-1.125,-0.048902415,-4.2869625,10.638918,-0.00793,-0.60132,-0.60132,8608104400.0,CLOSED,2.0566,22.0811,-0.2011013,-0.009107395,22.43205,-0.55205154,-0.024609946,15,0,America/New_York,EDT,-14400000,25.05,21.89,PCX,23.005,21.84,5.13,0.34,Capital Group Core Plus Income ,21.9,-0.0200005,-0.0913263,CGCP,0.0,0.0,,,,,,,,,
REIT,real-estate,4,XLRE,State Street Real Estate Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.19,31.436655,12.27352,45.985,USD,-0.723163,False,False,False,True,1444311000000,2,0.5690872,1788566366.0,44.18,0.25,-0.32,1788552000,43.93,44.275,43.875 - 44.275,43.875,3761109,44.25,500,10600.0,us_market,finmb_308648931,NYSEArca,State Street Real Estate Select Sector SPDR ETF,44.04,5198073,4928240,[],4.205002,0.10585279,39.725 - 46.455,-2.5250015,-0.054353707,4.844868,31.30837,10.99793,1.14204,1.14204,8312176100.0,CLOSED,1.4031391,44.8482,-0.91820145,-0.02047354,43.06835,0.86164856,0.020006537,15,0,America/New_York,EDT,-14400000,44.26,43.71,PCX,46.455,39.725,3.19,0.08,State Street Real Estate Select,44.18,-0.32,-0.723163,XLRE,,,,,,,,,,,
REIT,real-estate,5,FTSM,First Trust Enhanced Short Maturity ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,5.17288,0.04099,USD,0.033501603,False,False,False,True,1407331800000,2,0.04855882,1788565628.0,59.749,0.028999329,0.020000458,1788552001,59.72,59.74,59.72 - 59.74,59.72,429423,59.7,5,5.0,us_market,finmb_264394906,NasdaqGM,First Trust Enhanced Short Maturity ETF,59.74,657488,550710,[],0.05000305,0.00083799317,59.67 - 60.91,-1.1899986,-0.019537,-0.49154162,,2.35257,0.87799,0.87799,6547893200.0,CLOSED,,59.81598,-0.09597778,-0.0016045509,59.903515,-0.18351364,-0.0030634871,15,0,America/New_York,EDT,-14400000,59.78,59.75,NGM,60.91,59.67,4.1,0.29,First Trust Enhanced Short Matu,59.749,0.020000458,0.033501603,FTSM,0.0,0.0,1496188800.0,,,,,,,,
REIT,real-estate,6,CGMS,Capital Group U.S. Multi-Sector Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.93,29.673590504451038,,,USD,0.0370516,False,False,False,True,1666877400000,2,0.0,1788566389.0,27.0,0.0,0.0100002,1788552000,27.0,27.02,26.99 - 27.02,26.99,799629,26.99,5300,6900.0,us_market,finmb_1792031223,NYSEArca,Capital Group U.S. Multi-Sector Income ETF,26.99,1124655,1013460,[],0.059999466,0.0022271515,26.94 - 28.08,-1.0799999,-0.038461536,-3.2258093,29.42295,1.70163,0.0115,0.0115,5440398800.0,CLOSED,0.917651,27.1907,-0.19070053,-0.0070134467,27.478725,-0.47872543,-0.017421676,15,0,America/New_York,EDT,-14400000,28.54,25.51,PCX,28.08,26.94,6.07,0.39,Capital Group U.S. Multi-Sector,27.0,0.0100002,0.0370516,CGMS,0.0,0.0,,,,,,,,,
REIT,real-estate,7,REET,iShares Global REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.38,23.036167,10.42668,32.24835,USD,-0.472216,False,False,False,True,1404999000000,2,0.0,1788564602.0,27.4,0.0,-0.130001,1788552000,27.4,27.605,27.385 - 27.605,27.385,2637048,27.53,8700,10700.0,us_market,finmb_262340397,NYSEArca,iShares Global REIT ETF,27.44,2808904,3394610,[],2.7549992,0.11178734,24.645 - 29.06,-1.6599998,-0.057123188,7.156825,22.9524,11.50411,1.55325,1.55325,4936422900.0,CLOSED,1.1937749,28.0726,-0.6725998,-0.0239593,26.68845,0.71154976,0.026661336,15,0,America/New_York,EDT,-14400000,28.18,27.2,PCX,29.06,24.645,3.38,0.14,iShares Global REIT ETF,27.4,-0.130001,-0.472216,REET,0.0,0.0,,,,,,,,,
REIT,real-estate,8,USRT,iShares Core U.S. REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.6,29.7442,13.6217,43.10877,USD,-0.563084,False,False,False,True,1178285400000,2,0.42853755,1788566350.0,65.62,0.2800064,-0.370003,1788552000,65.34,65.93,65.275 - 65.93,65.275,533820,65.71,100,200.0,us_market,finmb_34214469,NYSEArca,iShares Core U.S. REIT ETF,65.44,532280,462750,[],8.899998,0.15768954,56.44 - 70.09,-4.75,-0.06777001,11.482679,29.612768,16.27708,1.9318,1.9318,4570247200.0,CLOSED,2.2064805,67.3292,-1.9892044,-0.029544452,62.75365,2.5863457,0.041214265,15,0,America/New_York,EDT,-14400000,65.96,64.25,PCX,70.09,56.44,2.6,0.08,iShares Core U.S. REIT ETF,65.62,-0.370003,-0.563084,USRT,,,,,,,,,,,
REIT,real-estate,9,IYR,iShares U.S. Real Estate ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.21,28.53067,11.86027,38.69177,USD,-0.719283,False,False,False,True,961421400000,2,0.6167978,1788566253.0,102.77,0.62999725,-0.739998,1788552000,102.14,102.95,102.07 - 102.95,102.07,5426524,102.88,3200,200.0,us_market,finmb_8796462,NYSEArca,iShares U.S. Real Estate ETF,102.28,5352188,4450960,[],9.690002,0.10481344,92.45 - 108.17,-6.029999,-0.055745576,5.0931215,28.179607,10.08756,1.66437,1.66437,4394973200.0,CLOSED,3.6246068,104.3666,-2.2266006,-0.021334417,99.823,2.3170013,0.023211097,15,0,America/New_York,EDT,-14400000,102.25,102.15,PCX,108.17,92.45,2.21,0.37,iShares U.S. Real Estate ETF,102.77,-0.739998,-0.719283,IYR,1.861,0.018089036,,49350000.0,102.416,0.9973051,USD,,,,
REIT,real-estate,10,FREI,Fidelity Real Estate Income Fund ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,,,USD,-0.11411022,False,False,False,True,1781789400000,2,0.006860911,1788552604.0,24.7717,0.0016994476,-0.028299332,1788552000,24.7717,24.85,24.77 - 24.85,24.77,9216,24.8,20,,us_market,finmb_28180414,NasdaqGM,Fidelity Real Estate Income Fund ETF,24.79,26629,11190,[],0.06170082,0.002496998,24.71 - 27.81,-3.0382996,-0.10925205,-0.3620267,26.50679,4.35188,0.37377,0.37377,4382543900.0,CLOSED,0.93454164,24.9464,-0.17469978,-0.007003006,24.946909,-0.17520905,-0.0070232768,15,0,America/New_York,EDT,-14400000,,25.02,NGM,27.81,24.71,,0.57,Fidelity Real Estate Income ETF,24.7717,-0.02999878,-0.12096282,FREI,,,,,,,,2026-06-18,,,
REIT,real-estate,11,DFGR,Dimensional Global Real Estate ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.71,22.893773,,,USD,-0.414361,False,False,False,True,1670423400000,2,4.022191,1788566222.0,30.0,1.1599998,-0.119999,1788552000,28.84,29.0299,28.8139 - 29.0299,28.8139,402712,28.96,200,1500.0,us_market,finmb_1802681142,NYSEArca,Dimensional Global Real Estate ETF,28.88,421455,407040,[],2.8220005,0.10846339,26.018 - 30.425,-1.5849991,-0.052095287,5.4864645,22.814665,10.51672,0.82712,0.82712,3813840380.0,CLOSED,1.2640992,29.4731,-0.6331005,-0.021480622,28.178946,0.6610546,0.023459168,15,0,America/New_York,EDT,-14400000,43.38,27.37,PCX,30.425,26.018,3.71,0.22,Dimensional Global Real Estate ,30.0,-0.119999,-0.414361,DFGR,0.0,0.0,,,,,,,,,
REIT,real-estate,12,VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.81,12.507817,6.40328,5.63681,USD,0.19920352,False,False,False,True,1288618200000,2,0.0,1788564603.0,45.27,0.0,0.09000015,1788552000,45.27,45.365,45.14 - 45.365,45.14,245543,45.18,1,2.0,us_market,finmb_115208731,NasdaqGM,Vanguard Global ex-U.S. Real Estate Index Fund ETF Shares,45.15,284325,278230,[],2.0600014,0.047674183,43.21 - 50.88,-5.6100006,-0.11025944,-4.7949553,12.301302,-2.28659,-2.75249,-2.75249,3770853380.0,CLOSED,3.6800983,45.5112,-0.2411995,-0.0052997833,46.53685,-1.2668495,-0.027222503,15,0,America/New_York,EDT,-14400000,46.5,44.85,NGM,50.88,43.21,4.81,0.12,Vanguard Global ex-U.S. Real Es,45.27,0.09000015,0.19920352,VNQI,,,1482796800.0,,,,,,,,
REIT,real-estate,13,DTCR,Global X Data Center & Digital Infrastructure ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.89,19.323671,,,USD,0.85898274,False,False,False,True,1603978200000,2,-1.0645889,1788566276.0,27.88,-0.30000114,0.23999977,1788552001,28.18,28.27,27.885 - 28.27,27.885,642816,27.94,2,2.0,us_market,finmb_687578005,NasdaqGM,Global X Data Center & Digital Infrastructure ETF,27.93,1206957,609960,[],9.84,0.53653216,18.34 - 32.79,-4.6100006,-0.14059165,52.15982,19.5246,32.8586,-11.10414,-11.10414,2143491710.0,CLOSED,1.4433075,28.3621,-0.1821003,-0.0064205504,26.377,1.8029995,0.06835499,15,0,America/New_York,EDT,-14400000,28.63,28.27,NGM,32.79,18.34,0.89,0.5,Global X Data Center & Digital ,27.88,0.23999977,0.85898274,DTCR,,,,,,,,,,,
REIT,real-estate,14,ICF,iShares Select U.S. REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.47,29.70003,10.38017,43.99418,USD,-0.7414,False,False,False,True,981124200000,2,0.67223924,1788565502.0,67.39,0.44999695,-0.5,1788552000,66.94,67.5,66.915 - 67.5,66.915,66406,67.44,300,1000.0,us_market,finmb_8795707,Cboe US,iShares Select U.S. REIT ETF,67.05,145119,166750,[],8.030003,0.13630967,58.91 - 71.01,-4.0699997,-0.057315864,9.6837635,29.527996,13.76106,0.14703,0.14703,2046449020.0,CLOSED,2.2670012,68.6086,-1.6685944,-0.024320485,65.09835,1.8416519,0.028290302,15,0,America/New_York,EDT,-14400000,67.6,65.91,BTS,71.01,58.91,2.47,0.32,iShares Select U.S. REIT ETF,67.39,-0.5,-0.7414,ICF,,,,,,,,,,,
REIT,real-estate,15,RWR,State Street SPDR Dow Jones REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.38,31.715826,13.72095,45.5013,USD,-0.642571,False,False,False,True,998919000000,2,0.0,1788564603.0,111.33,0.0,-0.720001,1788552000,111.33,112.44,111.26 - 112.44,111.26,74012,112.05,700,500.0,us_market,finmb_8799273,NYSEArca,State Street SPDR Dow Jones REIT ETF,111.69,299911,138400,[],14.669998,0.15176906,96.66 - 119.65,-8.32,-0.06953614,10.754085,31.528475,15.75444,2.88733,2.88733,1848601860.0,CLOSED,3.5310938,114.8056,-3.4756012,-0.030273793,107.32,4.010002,0.03736491,15,0,America/New_York,EDT,-14400000,112.37,108.87,PCX,119.65,96.66,3.38,0.25,State Street SPDR Dow Jones REI,111.33,-0.720001,-0.642571,RWR,3.408,0.030414993,,25981600.0,122.209,0.9109804,USD,,,,
