sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_currency,screen_ask,screen_bid,screen_net_expense_ratio,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_regular_market_change_percent,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_symbol,screen_dividend_date,screen_ipo_expected_date,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_prev_name,screen_name_change_date,screen_display_name
Technology,technology,1,QQQ,Invesco QQQ Trust,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.42,29.21414,54.76143,27.24303,True,921076200000,2,-0.19751361,1788566398.0,717.54,-1.420044,1.2900391,1788552000,718.96,721.86,716.56 - 721.86,716.56,32871076,717.67,1,1,us_market,finmb_8108558,NasdaqGM,Invesco QQQ Trust,719.36,40757530,29771790,[],163.36005,0.2940246,555.6 - 748.65,-29.690002,-0.039658055,24.200594,1.77,29.303808,0.0024663147,16.99566,-2.79293,-2.79293,488981004000.0,CLOSED,24.534697,393100000.0,357.774,711.085,7.875,0.011074625,657.7073,61.252747,0.093130715,2.009537,15,0,America/New_York,EDT,-14400000,USD,717.49,717.24,0.18,NGM,748.65,555.6,0.42,USD,"Invesco QQQ Trust, Series 1",717.54,1.2900391,0.1797538,0.1797538,False,False,False,QQQ,,,,,,,,,,
Technology,technology,2,VGT,Vanguard Information Technology Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.36,32.552083,52.67272,30.37672,True,1075473000000,2,-0.17316656,1788566332.0,121.06,-0.20999908,0.389999,1788552000,121.27,121.93,120.89 - 121.93,120.89,3107684,120.88,1720,2760,us_market,finmb_22939099,NYSEArca,Vanguard Information Technology Index Fund ETF Shares,121.35,4312212,3047960,[],38.18,0.45950177,83.09 - 126.0,-4.7300034,-0.03753971,37.62697,,34.888126,,28.20307,-0.34297,-0.34297,169378480000.0,CLOSED,3.4759676,,,117.3362,3.9337997,0.033525884,103.73727,17.53273,0.1690109,,15,0,America/New_York,EDT,-14400000,USD,121.2,121.15,0.09,PCX,126.0,83.09,0.36,,Vanguard Information Tech ETF,121.06,0.389999,0.322634,0.322634,False,False,False,VGT,,,,,,,,,,
Technology,technology,3,BNDX,Vanguard Total International Bond Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,4.75,24.390243902439025,8.89536,-2.1995,True,1370352600000,2,0.021071278,1788566271.0,47.46,0.0099983215,0.049999237,1788552001,47.45,47.4879,47.43 - 47.4879,47.43,3684765,47.4,11,22,us_market,finmb_204607725,NasdaqGM,Vanguard Total International Bond Index Fund ETF Shares,47.44,4226892,4265300,[],0.22000122,0.004658082,47.23 - 49.93,-2.4799995,-0.049669527,-4.0250835,0.0,,0.0,-0.11327,-0.8684,-0.8684,123300798000.0,CLOSED,,,,47.8562,-0.4062004,-0.008487937,48.3001,-0.85009766,-0.01760033,,15,0,America/New_York,EDT,-14400000,USD,47.99,47.91,0.07,NGM,49.93,47.23,4.58,,Vanguard Total International Bo,47.46,0.049999237,0.10548362,0.10548362,False,False,False,BNDX,1496793600.0,,,,,,,,,
Technology,technology,4,XLK,State Street Technology Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.43,33.014196,55.97255,34.54791,True,914337000000,2,-0.21358068,1788566388.0,186.88,-0.3999939,1.31,1788552000,187.28,188.2,186.42 - 188.2,186.42,5081462,185.97,400,300,us_market,finmb_8795639,NYSEArca,State Street Technology Select Sector SPDR ETF,187.19,9609811,6041960,[],60.6,0.4783707,126.68 - 198.73,-11.449997,-0.057615846,41.43413,,33.15227,,29.82499,-2.2813,-2.2813,121437733000.0,CLOSED,5.649085,,,182.6072,4.672806,0.025589386,160.35512,26.924881,0.16790783,,15,0,America/New_York,EDT,-14400000,USD,187.39,186.82,0.08,PCX,198.73,126.68,0.43,,State Street Technology Select ,186.88,1.31,0.704413,0.704413,False,False,False,XLK,,,,,,,,,,
Technology,technology,5,QQQM,Invesco NASDAQ 100 ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.44,29.21414,,,True,1602595800000,2,-0.22292149,1788566390.0,295.41,-0.66000366,0.55999756,1788552000,296.07,297.2101,295.06 - 297.2101,295.06,2251516,295.51,2,2,us_market,finmb_685319703,NasdaqGM,Invesco NASDAQ 100 ETF,296.1,3450012,2537690,[],67.32001,0.2942951,228.75 - 308.21,-12.139984,-0.03938868,24.252975,0.0,29.303213,0.0,17.02132,-2.7825,-2.7825,104376492000.0,CLOSED,10.10367,,,292.7838,3.2861938,0.01122396,270.79755,25.27246,0.09332603,,15,0,America/New_York,EDT,-14400000,USD,298.7,275.76,0.15,NGM,308.21,228.75,0.44,,Invesco NASDAQ 100 ETF,295.41,0.55999756,0.18950206,0.18950206,False,False,False,QQQM,,,,,,,,,,
Technology,technology,6,SMH,VanEck Semiconductor ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.2,37.778617,73.21578,42.2377,True,960211800000,2,-0.14111036,1788566397.0,566.2099,-0.80010986,14.410034,1788552000,567.01,569.3916,557.9 - 569.3916,557.9,9456112,552.6,15,15,us_market,finmb_3588704,NasdaqGM,VanEck Semiconductor ETF,560.63,10588109,6138550,[],272.21002,0.9233719,294.8 - 671.83,-104.82001,-0.15602162,91.2215,,38.727318,,54.55833,-7.02748,-7.02748,67787031000.0,CLOSED,14.641087,,,573.966,-6.9559937,-0.012119174,477.3958,89.6142,0.18771467,,15,0,America/New_York,EDT,-14400000,USD,591.49,560.34,0.35,NGM,671.83,294.8,0.2,,VanEck Semiconductor ETF,566.2099,14.410034,2.6076791,2.6076791,False,False,False,SMH,,,,,,,,,,
Technology,technology,7,JEPQ,JPMorgan Nasdaq Equity Premium Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,10.84,29.129042,,,True,1651671000000,2,-0.25053903,1788566399.0,59.72,-0.14999771,0.1800003,1788552001,59.87,59.99,59.68 - 59.99,59.68,4921391,59.69,3,3,us_market,finmb_1771574239,NasdaqGM,JPMorgan Nasdaq Equity Premium Income ETF,59.79,6569979,5974730,[],6.3600006,0.1188563,53.51 - 61.72,-1.8500023,-0.029974112,6.8725467,0.0,28.959743,0.0,10.96428,1.67134,1.67134,42209616000.0,CLOSED,2.0673525,,,59.4762,0.39379883,0.0066211163,58.7354,1.1345978,0.019317104,,15,0,America/New_York,EDT,-14400000,USD,59.75,59.64,0.35,NGM,61.72,53.51,10.84,,JPMorgan Nasdaq Equity Premium ,59.72,0.1800003,0.30155858,0.30155858,False,False,False,JEPQ,,,,,,,,,,
Technology,technology,8,SOXX,iShares Semiconductor ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.29,37.56574,66.90468,44.00158,True,995031000000,2,-0.22505732,1788566398.0,518.69,-1.1699829,17.659973,1788552000,519.86,520.55,507.25 - 520.55,507.25,9234036,502.2,1,1,us_market,finmb_8796823,NasdaqGM,iShares Semiconductor ETF,509.4,9763092,7186320,[],272.63,1.1027384,247.23 - 655.95,-136.09003,-0.20747012,108.90496,3.135,38.21408,0.0062425327,69.93829,-10.11599,-10.11599,41810907000.0,CLOSED,13.603886,7650000.0,424.092,538.3204,-18.460388,-0.034292568,431.53345,88.32654,0.20468064,1.2258189,15,0,America/New_York,EDT,-14400000,USD,532.24,531.12,0.33,NGM,655.95,247.23,0.29,USD,iShares PHLX SOX Semiconductor ,518.69,17.659973,3.5165217,3.5165217,False,False,False,SOXX,1482883200.0,,,,,,,,,
Technology,technology,9,EWY,iShares MSCI South Korea ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.12,10.40691,19.05378,-7.55495,True,958138200000,2,-4.4633837,1788566325.0,180.44,-8.429993,8.31,1788552000,188.87,189.19,181.145 - 189.19,181.145,18295379,180.56,100,100,us_market,finmb_6456995,NYSEArca,iShares MSCI South Korea ETF,181.37,21046655,11644130,[],115.02,1.5574814,73.85 - 220.89,-32.020004,-0.14495905,154.57608,,10.867816,,84.8441,-11.7088,-11.7088,27722782700.0,CLOSED,17.378836,,,174.5366,14.333389,0.08212254,147.4395,41.430496,0.281,,15,0,America/New_York,EDT,-14400000,USD,187.5,187.1,0.59,PCX,220.89,73.85,1.12,,iShares MSCI South Korea ETF,180.44,8.31,4.60235,4.60235,False,False,False,EWY,,,,,,,,,,
Technology,technology,10,DRAM,Roundhill Memory ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,,,True,1775136600000,2,-0.31830898,1788566399.0,59.5,-0.18999863,3.7,1788552001,59.69,59.785,56.74 - 59.785,56.74,40498094,55.99,3000,2600,us_market,finmb_1985020478,Cboe US,Roundhill Memory ETF,56.915,59428087,27605160,[],33.55,1.2834736,26.14 - 81.34,-21.649998,-0.2661667,115.02161,,12.687507,,,-9.37949,-9.37949,26017624100.0,CLOSED,4.704628,,,56.9906,2.699398,0.047365673,53.78472,5.9052773,0.1097947,,15,0,America/New_York,EDT,-14400000,USD,59.53,59.5,0.65,BTS,81.34,26.14,,,Roundhill Memory ETF,59.5,3.7,6.60832,6.60832,False,False,False,DRAM,,,,,,,,,,
