sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_currency,screen_net_expense_ratio,screen_bid,screen_ask,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_short_name,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_regular_market_change_percent,screen_symbol,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_financial_currency,screen_ipo_expected_date,screen_dividend_date,screen_prev_name,screen_name_change_date
Telecom,communication-services,1,XLC,State Street Communication Services Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.32,15.666614,52.84441,15.89751,True,1529415000000,2,-0.6072006,-0.5374646,1788177945.0,112.3678,1.57999,-0.6072006,-0.5374646,112.3678,1787947200,112.99,113.52,111.86 - 113.52,111.86,3735596,111.41,1300,1500,us_market,finmb_557642090,NYSEArca,State Street Communication Services Select Sector SPDR ETF,111.87,6242363,3839900,[],7.959999,0.075787865,105.03 - 120.405,-7.415001,-0.06158383,1.6097069,0.0,16.35844,0.0,-7.52329,-6.85096,-6.85096,21723451400.0,PRE,6.907138,110.0984,2.8916016,0.026263794,114.0332,-1.0432053,-0.009148259,15,0,America/New_York,EDT,-14400000,USD,0.08,106.39,0.0,PCX,120.405,105.03,1.32,State Street Communication Serv,False,False,False,1.41818,XLC,,,,,,,,
Telecom,communication-services,2,VOX,Vanguard Communication Services Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.08,17.050298,44.7169,13.78054,True,1096464600000,2,0.47000122,0.24925818,1788177348.0,189.03,2.34,-1.0800018,-0.5727933,189.03,1787947200,188.56,189.93,186.8 - 189.93,186.8,225698,186.22,400,200,us_market,finmb_22939518,NYSEArca,Vanguard Communication Services Index Fund ETF Shares,186.8,306225,228050,[],16.190002,0.09392587,172.37 - 200.77,-12.210007,-0.06081589,4.9538016,0.896,17.682346,0.0048115132,-5.6249,-7.36381,-7.36381,6032649700.0,PRE,10.663743,186.3566,2.2033997,0.011823567,189.8453,-1.2853088,-0.0067702956,15,0,America/New_York,EDT,-14400000,USD,0.09,177.82,199.3,PCX,200.77,172.37,1.08,Vanguard Communication Services,False,False,False,1.25658,VOX,18289800.0,146.313,1.288744,USD,,,,
Telecom,communication-services,3,SRLN,State Street Blackstone Senior Loan ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,10.80677,4.91315,True,1365082200000,2,0.02999878,0.073580526,1788177611.0,40.8,-0.00999832,0.034999847,0.08585759,40.8,1787947200,40.77,40.78,40.74 - 40.78,40.74,777953,40.78,10500,3400,us_market,finmb_204729388,NYSEArca,State Street Blackstone Senior Loan ETF,40.77,1648650,1299180,[],1.3800011,0.0350343,39.39 - 41.63,-0.8600006,-0.020658193,-1.4265001,0.0,,0.0,1.51377,1.26544,1.26544,5339877400.0,PRE,,40.395,0.375,0.0092833275,40.61575,0.1542511,0.003797815,15,0,America/New_York,EDT,-14400000,USD,0.7,40.61,44.68,PCX,41.63,39.39,7.38,State Street Blackstone Senior ,False,False,False,-0.0245177,SRLN,,,,,,,,
Telecom,communication-services,4,SJNK,State Street SPDR Bloomberg Short Term High Yield Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,12.0752,5.28972,True,1333978200000,2,-0.01999855,-0.08038003,1788177058.0,24.86,-0.0500011,-0.0500011,-0.200566,24.86,1787947200,24.88,24.946,24.87 - 24.946,24.87,1493029,24.93,74600,21900,us_market,finmb_182187069,NYSEArca,State Street SPDR Bloomberg Short Term High Yield Bond ETF,24.94,2282593,1406220,[],0.15999985,0.006472486,24.72 - 25.65,-0.77000046,-0.030019512,-1.8927455,0.0,0.90210295,0.0,1.61153,0.36245,0.36245,4715049000.0,PRE,27.58,24.8986,-0.018600464,-0.0007470486,25.10855,-0.22854996,-0.009102476,15,0,America/New_York,EDT,-14400000,USD,0.4,0.0,24.95,PCX,25.65,24.72,7.05,State Street SPDR Bloomberg Sho,False,False,False,-0.200566,SJNK,,,,,,,,
Telecom,communication-services,5,JPIB,JPMorgan International Bond Opportunities ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.7,20.24701356549909,7.83473,0.54993,True,1492090200000,2,,,,,-0.079998,-0.079998,-0.166941,,1787947200,47.84,47.92,47.805 - 47.92,47.805,530290,47.92,400,2100,us_market,finmb_366626547,NYSEArca,JPMorgan International Bond Opportunities ETF,47.9,199250,259810,[],0.49000168,0.010348504,47.35 - 49.425,-1.5849991,-0.032068774,-1.3811588,0.0,19.90271,0.0,0.45858,0.58815,0.58815,2101812860.0,PRE,2.4036927,48.01004,-0.17004013,-0.0035417618,48.39451,-0.5545082,-0.011458081,15,0,America/New_York,EDT,-14400000,USD,0.5,44.91,50.84,PCX,49.425,47.35,4.98,JPMorgan International Bond Opp,False,False,False,-0.166941,JPIB,,,,,,,,
Telecom,communication-services,6,HYS,PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,11.75652,4.74149,True,1308317400000,2,,,,,-0.0199966,-0.0199966,-0.0215018,,1787947200,92.98,93.13,92.9 - 93.13,92.9,118937,93.0,100,200,us_market,finmb_134386306,NYSEArca,PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund,93.05,104511,79110,[],0.98000336,0.010652211,92.0 - 95.88,-2.899994,-0.030246079,-1.95086,,,,1.39463,0.39394,0.39394,1746727680.0,PRE,,92.959,0.021003723,0.0002259461,93.8584,-0.8783951,-0.009358726,15,0,America/New_York,EDT,-14400000,USD,0.56,91.51,94.0,PCX,95.88,92.0,7.49,PIMCO 0-5 Year High Yield Corpo,False,False,False,-0.0215018,HYS,,,,,,,,
Telecom,communication-services,7,FCOM,Fidelity MSCI Communication Services Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.02,16.625104,44.4284,13.83725,True,1382621400000,2,,,,,0.860001,0.860001,1.22298,,1787947200,71.18,71.66,70.52 - 71.66,70.52,63954,70.32,1000,100,us_market,finmb_243638574,NYSEArca,Fidelity MSCI Communication Services Index ETF,70.52,192438,116390,[],5.919998,0.09071404,65.26 - 75.94,-4.760002,-0.062681094,4.768908,0.0,17.23443,0.0,-5.78023,-7.45103,-7.45103,1730317950.0,PRE,4.1301045,70.3542,0.82579803,0.011737722,71.76905,-0.5890503,-0.008207581,15,0,America/New_York,EDT,-14400000,USD,0.084,70.3,75.26,PCX,75.94,65.26,1.02,Fidelity MSCI Communication Ser,False,False,False,1.22298,FCOM,,,,,,,,
Telecom,communication-services,8,IYZ,iShares U.S. Telecommunications ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.71,18.467221,3.88281,11.67828,True,959347800000,2,-0.061901093,-0.14378883,1788174205.0,42.9881,-0.34,-0.061901093,-0.14378883,42.9881,1787947200,43.05,43.45,42.995 - 43.45,42.995,614133,43.39,2700,1900,us_market,finmb_8796470,Cboe US,iShares U.S. Telecommunications ETF,43.41,1253014,788740,[],11.99,0.38602704,31.06 - 46.07,-3.0200005,-0.06555243,37.058258,0.81,19.306223,0.018667895,22.38503,-2.06921,-2.06921,1190077310.0,PRE,2.229851,41.9842,1.0657997,0.025385734,39.1601,3.8899002,0.09933326,15,0,America/New_York,EDT,-14400000,USD,0.37,0.0,0.0,BTS,46.07,31.06,1.71,iShares U.S. Telecommunications,False,False,False,-0.783591,IYZ,13650000.0,32.386,1.329278,USD,,,,
Telecom,communication-services,9,GGLL,Direxion Daily GOOGL Bull 2X Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.65,17.857143,,,True,1662557400000,2,-1.2300034,-1.1962686,1788178969.0,101.59,3.4000015,-1.2300034,-1.1962686,101.59,1787947201,102.82,104.34,99.3 - 104.34,99.3,1018853,99.42,1,1,us_market,finmb_1796978306,NasdaqGM,Direxion Daily GOOGL Bull 2X Shares,99.39,1518174,797070,[],56.487,1.2191527,46.333 - 153.0,-50.18,-0.32797387,110.99939,0.0,16.654917,0.0,15.13518,-19.02376,-19.02376,1066595840.0,PRE,6.1735525,107.2596,-4.439598,-0.04139115,105.70307,-2.883072,-0.027275195,15,0,America/New_York,EDT,-14400000,USD,0.96,113.34,113.55,NGM,153.0,46.333,1.65,Direxion Daily GOOGL Bull 2X ET,False,False,False,3.4198365,GGLL,,,,,,,,
Telecom,communication-services,10,CMDY,iShares Bloomberg Roll Select Commodity Strategy ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,-9.08653,26.9684,True,1522935000000,2,0.055000305,0.08772678,1788177904.0,62.75,0.00500107,0.00500107,0.00797746,62.75,1787947191,62.695,63.03,62.635 - 63.03,62.635,38789,62.69,700,100,us_market,finmb_548711626,NYSEArca,iShares Bloomberg Roll Select Commodity Strategy ETF,62.85,74198,50460,[],15.060001,0.31615412,47.635 - 63.757,-1.0620003,-0.016656999,21.032822,,,,20.68254,-5.24645,-5.24645,558831550.0,PRE,,58.76482,3.9301796,0.0668798,56.8382,5.8568,0.10304338,15,0,America/New_York,EDT,-14400000,USD,0.28,59.14,63.74,PCX,63.757,47.635,10.69,iShares Bloomberg Roll Select C,False,False,False,0.00797746,CMDY,,,,,,,,
