sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_currency,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_pe,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_regular_market_change_percent,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_net_expense_ratio,screen_ask,screen_bid,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_symbol,screen_dividend_date,screen_trailing_annual_dividend_rate,screen_trailing_annual_dividend_yield,screen_prev_name,screen_name_change_date,screen_display_name,screen_financial_currency,screen_ipo_expected_date
Utilities Infrastructure,utilities_infrastructure,1,PAVE,Global X U.S. Infrastructure Development ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1488983400000,2,-0.8520689,1788566352.0,54.69,-0.47000122,0.470001,1788552000,55.16,55.255,54.66 - 55.255,54.66,1191853,54.69,1000.0,1200.0,us_market,finmb_415556335,Cboe US,Global X U.S. Infrastructure Development ETF,54.72,1890484,1809740,[],9.720001,0.21390848,45.44 - 60.43,-5.2700005,-0.087208346,18.369102,28.36595,14.68662,-2.7068,-2.7068,13504796700.0,CLOSED,1.944585,56.8866,-1.7266006,-0.030351622,53.858025,1.3019753,0.024174212,15,0,America/New_York,EDT,-14400000,0.859392,False,False,False,Global X U.S. Infrastructure De,54.69,0.470001,0.859392,0.47,55.34,54.89,BTS,60.43,45.44,0.79,PAVE,,,,,,,,
Utilities Infrastructure,utilities_infrastructure,2,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1258468200000,2,-0.843628,1788566327.0,177.48,-1.5100098,1.4500122,1788552001,178.99,179.68,177.89 - 179.68,177.89,380674,177.54,2.0,2.0,us_market,finmb_79682012,NasdaqGM,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,178.1,651126,489220,[],35.690002,0.24905793,143.3 - 199.99,-21.0,-0.10500525,23.740065,29.295282,17.02654,-7.15269,-7.15269,11838994400.0,CLOSED,6.1098576,181.9328,-2.9427948,-0.016175175,174.40935,4.580658,0.026263833,15,0,America/New_York,EDT,-14400000,0.81672424,False,False,False,First Trust NASDAQ Clean Edge S,177.48,1.4500122,0.81672424,0.56,188.6,186.41,NGM,199.99,143.3,0.8,GRID,1483056000.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,3,IGF,iShares Global Infrastructure ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1197469800000,2,0.06146422,1788565813.0,65.12,0.040000916,0.069999695,1788552001,65.08,65.205,64.87 - 65.205,64.87,374700,65.01,6.0,3.0,us_market,finmb_39460755,NasdaqGM,iShares Global Infrastructure ETF,64.87,808649,763390,[],5.510002,0.09249626,59.57 - 69.6,-4.5199966,-0.06494248,8.811235,20.273518,7.45489,-0.88225,-0.88225,10484185100.0,CLOSED,3.2100992,66.3112,-1.2312012,-0.018567016,65.6588,-0.5787964,-0.008815214,15,0,America/New_York,EDT,-14400000,0.10767527,False,False,False,iShares Global Infrastructure E,65.12,0.069999695,0.10767527,0.37,66.19,65.95,NGM,69.6,59.57,2.96,IGF,1529884800.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,4,IFRA,iShares U.S. Infrastructure ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1522935000000,2,-0.28686833,1788566391.0,59.09,-0.16999817,0.34,1788552000,59.26,59.35,58.76 - 59.35,58.76,195373,58.92,1600.0,1900.0,us_market,finmb_546589016,Cboe US,iShares U.S. Infrastructure ETF,58.76,481858,340710,[],8.599998,0.16975915,50.66 - 64.25,-4.9900017,-0.077665396,14.978659,23.091805,12.47507,-3.24562,-3.24562,4193918460.0,CLOSED,2.5662785,61.0846,-1.8246002,-0.029870054,58.6905,0.56949997,0.009703444,15,0,America/New_York,EDT,-14400000,0.577054,False,False,False,iShares U.S. Infrastructure ETF,59.09,0.34,0.577054,0.3,60.41,57.75,BTS,64.25,50.66,1.66,IFRA,,0.0,0.0,,,,,
Utilities Infrastructure,utilities_infrastructure,5,NFRA,Northern Trust STOXX Global Broad Infrastructure ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1381325400000,2,0.0,1788564602.0,65.73,0.0,0.00730133,1788552000,65.73,65.9428,65.695 - 65.9428,65.695,32428,65.7227,400.0,300.0,us_market,finmb_243871626,NYSEArca,Northern Trust STOXX Global Broad Infrastructure ETF,65.64,72657,127200,[],6.130005,0.102852434,59.6 - 67.36,-1.6299973,-0.024198296,5.658257,17.505657,9.93701,0.49162,0.49162,3077518340.0,CLOSED,3.7547865,65.4182,0.31180573,0.0047663455,64.28325,1.4467545,0.022505932,15,0,America/New_York,EDT,-14400000,0.0111093,False,False,False,Northern Trust STOXX Global Bro,65.73,0.00730133,0.0111093,0.47,69.5,62.01,PCX,67.36,59.6,5.64,NFRA,,0.0,0.0,,,,,
Utilities Infrastructure,utilities_infrastructure,6,BKGI,Bny Mellon Global Infrastructure Income ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1667568600000,2,-0.18042813,1788566278.0,44.26,-0.08000183,0.0999985,1788551991,44.34,44.44,44.15 - 44.44,44.15,206113,44.24,200.0,1000.0,us_market,finmb_1794058959,Cboe US,Bny Mellon Global Infrastructure Income ETF,44.15,342261,750430,[],6.4799995,0.17115688,37.86 - 46.84,-2.5,-0.053373184,16.714931,18.778404,11.87838,-0.81178,-0.81178,1576524160.0,CLOSED,2.361223,44.8965,-0.5564995,-0.012395164,43.8728,0.46720123,0.010648996,15,0,America/New_York,EDT,-14400000,0.226036,False,False,False,BNY Mellon Global Infrastructur,44.26,0.0999985,0.226036,0.55,45.27,22.21,BTS,46.84,37.86,2.95,BKGI,,0.0,0.0,,,,,
Utilities Infrastructure,utilities_infrastructure,7,GII,State Street SPDR S&P Global Infrastructure ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1170253800000,2,0.0,1788564602.0,74.0261,0.0,0.0661011,1788550989,74.0261,74.135,73.81 - 74.135,73.81,13808,73.96,400.0,800.0,us_market,finmb_32430849,NYSEArca,State Street SPDR S&P Global Infrastructure ETF,73.79,41569,34230,[],6.2461014,0.09215257,67.78 - 78.95,-4.923897,-0.062367283,9.076178,20.265722,7.27075,-1.0199,-1.0199,941213120.0,CLOSED,3.6527739,75.472,-1.4459,-0.019158097,74.61265,-0.58654785,-0.007861239,15,0,America/New_York,EDT,-14400000,0.0893741,False,False,False,State Street SPDR S&P Global In,74.0261,0.0661011,0.0893741,0.4,78.11,69.69,PCX,78.95,67.78,2.73,GII,,,,,,,,
Utilities Infrastructure,utilities_infrastructure,8,NGIF,Nuveen Global Infrastructure Fund ETF Class,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,True,1780493400000,2,,,,,-0.0170002,1788450597,12.5553,12.5553,12.5553 - 12.5553,12.5553,7,12.5723,1000.0,1000.0,us_market,finmb_53759670,NYSEArca,Nuveen Global Infrastructure Fund ETF Class,12.619,1869,110,[],0.05529976,0.0044239806,12.5 - 13.2,-0.64470005,-0.048840914,-0.39650798,,,,,,CLOSED,,12.8632,-0.30790043,-0.023936534,12.842878,-0.28757858,-0.022392066,15,0,America/New_York,EDT,-14400000,-0.135219,False,False,False,Nuveen Global Infrastructure Fu,12.5553,-0.0170002,-0.135219,,19.06,6.08,PCX,13.2,12.5,,NGIF,,,,,,,,
Utilities Infrastructure,utilities_infrastructure,9,POWR,iShares U.S. Power Infrastructure ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,True,1328193000000,2,-0.46584177,1788566317.0,25.64,-0.12000084,0.17,1788552000,25.76,25.78,25.61 - 25.78,25.61,216626,25.59,500.0,600.0,us_market,finmb_160288000,NYSEArca,iShares U.S. Power Infrastructure ETF,25.61,233863,210980,[],2.58,0.111302845,23.18 - 28.44,-2.6800003,-0.09423348,4.7154427,19.836777,,,,,CLOSED,1.298598,26.5246,-0.76459885,-0.028826028,26.1452,-0.3852005,-0.0147331245,15,0,America/New_York,EDT,-14400000,0.664322,False,False,False,iShares U.S. Power Infrastructu,25.64,0.17,0.664322,,25.76,24.66,PCX,28.44,23.18,,POWR,,0.0,0.0,"iShares, Inc. - iShares MSCI Global Energy Producers ETF",2026-09-07,iShares,,
Utilities Infrastructure,utilities_infrastructure,10,TCAI,Tortoise AI Infrastructure ETF,Yahoo Finance custom ETF screener,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,True,1754400600000,2,-1.5664726,1788566353.0,46.5,-0.7400017,1.74,1788552058,47.24,47.24,45.9 - 47.24,45.9,42072,45.5,600.0,100.0,us_market,finmb_1951086335,NYSE,Tortoise AI Infrastructure ETF,45.85,100834,59820,[],21.430002,0.8302984,25.81 - 58.63,-11.389999,-0.19426914,82.04238,33.348896,52.33212,-16.40424,-16.40424,230074784.0,CLOSED,1.4165387,48.28994,-1.0499382,-0.02174238,41.31659,5.9234123,0.14336644,15,0,America/New_York,EDT,-14400000,3.82418,False,False,False,Tortoise AI Infrastructure ETF,46.5,1.74,3.82418,0.65,48.0,44.95,NYQ,58.63,25.81,0.03,TCAI,,0.0,0.0,,,AIMTC,USD,
