sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_regular_market_change_percent,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_net_expense_ratio,screen_ask,screen_bid,screen_short_name,screen_fullday_price,screen_fullday_change,screen_fullday_change_percent,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_symbol,screen_dividend_date,screen_eps_forward,screen_forward_pe,screen_ipo_expected_date,screen_display_name,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_implied_shares_outstanding,screen_market_cap,screen_prev_name,screen_name_change_date
Utilities,utilities,1,XLU,State Street Utilities Select Sector SPDR ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.83,19.015022,-7.14123,17.58388,USD,0.116205,18838974,43.03,900.0,45900.0,us_market,finmb_8795452,NYSEArca,State Street Utilities Select Sector SPDR ETF,42.77,20074920,21586130,[],1.9300003,0.046901584,41.15 - 47.8,-4.7199974,-0.09874472,4.28468,1.95,19.397755,0.04531722,0.21186,-4.38527,-4.38527,21836873700.0,CLOSED,2.2208757,163274000.0,63.99,44.44,-1.3599968,-0.03060299,44.663025,-1.5830231,-0.035443705,0.67323023,15,0,America/New_York,EDT,-14400000,False,False,False,True,914337000000,2,-0.34819293,1788566370.0,42.93,-0.15000153,0.0500031,1788552000,43.08,43.23,42.76 - 43.23,42.76,0.08,43.07,43.02,State Street Utilities Select S,42.93,0.0500031,0.116205,PCX,47.8,41.15,2.83,USD,XLU,,,,,,,,,,,
Utilities,utilities,2,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.88,10.989010989010989,12.41463,4.12229,USD,-0.0631176,25119775,79.21,85800.0,28600.0,us_market,finmb_33837611,NYSEArca,iShares iBoxx $ High Yield Corporate Bond ETF,79.2,31794423,31461130,[],0.59000397,0.007509278,78.57 - 81.36,-2.199997,-0.027040277,-2.1145046,,,,2.35481,0.81852,0.81852,16186192900.0,CLOSED,,,,79.592,-0.4319992,-0.005427671,80.1159,-0.9558945,-0.011931395,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1176298200000,2,0.06315743,1788566296.0,79.21,0.049995422,-0.0499954,1788552000,79.16,79.24,79.15 - 79.24,79.15,0.49,79.95,79.05,iShares iBoxx $ High Yield Corp,79.21,-0.0499954,-0.0631176,PCX,81.36,78.57,5.88,,HYG,,,,,,,,,,,
Utilities,utilities,3,PFF,iShares Preferred and Income Securities ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,9.32043,7.08736,USD,0.0,2085944,30.36,1.0,1.0,us_market,finmb_33508791,NasdaqGM,iShares Preferred and Income Securities ETF,30.38,2840371,2283350,[],0.30000114,0.009980078,30.06 - 32.26,-1.8999977,-0.0588964,-4.737997,1.822,3.7639475,0.060013175,1.31949,-1.78548,-1.78548,13016097800.0,CLOSED,8.066,418449984.0,38.275,30.4892,-0.12919998,-0.004237565,31.0058,-0.64579964,-0.02082835,0.79320705,15,0,America/New_York,EDT,-14400000,False,False,False,True,1175261400000,2,-0.13175532,1788565803.0,30.32,-0.040000916,0.0,1788552000,30.36,30.45,30.31 - 30.45,30.31,0.45,31.84,29.78,iShares Preferred and Income Se,30.32,0.0,0.0,NGM,32.26,30.06,5.43,USD,PFF,1522972800.0,,,,,,,,,,
Utilities,utilities,4,VPU,Vanguard Utilities Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.83,20.116677,-7.4652,17.33085,USD,0.15048,225147,186.07,200.0,400.0,us_market,finmb_22939110,NYSEArca,Vanguard Utilities Index Fund ETF Shares,185.32,242928,246900,[],7.8400116,0.043919176,178.51 - 206.1,-19.75,-0.09582727,4.013169,,19.604343,,0.13156,-4.54557,-4.54557,10175297500.0,CLOSED,9.505547,,,192.0448,-5.6947937,-0.029653465,193.3462,-6.9962006,-0.036184836,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1075473000000,2,-0.15025423,1788565974.0,186.07,-0.27999878,0.279999,1788552000,186.35,186.96,185.3127 - 186.96,185.3127,0.09,187.61,184.03,Vanguard Utilities ETF,186.07,0.279999,0.15048,PCX,206.1,178.51,2.83,,VPU,,,,,,,,,,,
Utilities,utilities,5,ICSH,iShares Ultra Short Duration Bond Active ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,5.59496,0.15969,USD,0.019834,1634138,50.41,71500.0,19400.0,us_market,finmb_249281599,Cboe US,iShares Ultra Short Duration Bond Active ETF,50.41,1561079,1957370,[],0.0399971,0.0007939083,50.38 - 50.77,-0.3500023,-0.0068938797,-0.454098,0.0,,0.0,2.34465,0.88738,0.88738,8649905200.0,CLOSED,,,,50.4946,-0.07460022,-0.0014773901,50.56415,-0.1441536,-0.002850905,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1387204200000,2,-0.03966014,1788566305.0,50.4,-0.019996643,0.00999832,1788552001,50.42,50.42,50.4 - 50.42,50.4,0.08,50.42,47.43,iShares Ultra Short Duration Bo,50.4,0.00999832,0.019834,BTS,50.77,50.38,4.2,,ICSH,,,,,,,,,,,
Utilities,utilities,6,SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,6.89,10.989010989010989,10.95511,4.97304,USD,-0.0238055,1269113,42.0,24300.0,11000.0,us_market,finmb_243961960,NYSEArca,iShares 0-5 Year High Yield Corporate Bond ETF,41.98,1349561,1158510,[],0.15999985,0.0038250021,41.83 - 43.39,-1.3999977,-0.032265447,-2.7333796,0.0,10.691938,0.0,2.75389,1.03418,1.03418,7763208700.0,CLOSED,3.927258,64800000.0,,42.1888,-0.19879913,-0.0047121304,42.51265,-0.52264786,-0.012293938,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1382016600000,2,0.07144267,1788566357.0,42.02,0.02999878,-0.00999832,1788552000,41.99,42.015,41.98 - 42.015,41.98,0.3,42.6,41.9,iShares 0-5 Year High Yield Cor,42.02,-0.00999832,-0.0238055,PCX,43.39,41.83,7.0,,SHYG,,,,,,,,,,,
Utilities,utilities,7,FPE,First Trust Preferred Securities and Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.59,22.321428571428573,6.61563,4.9554,USD,0.0,596390,17.64,5700.0,1800.0,us_market,finmb_225218946,NYSEArca,First Trust Preferred Securities and Income ETF,17.65,990707,1015770,[],0.099998474,0.005701167,17.54 - 18.51,-0.87000084,-0.047001667,-3.0236423,,,,0.79047,-0.12263,-0.12263,6291190300.0,CLOSED,,,,17.8044,-0.1644001,-0.009233679,18.05375,-0.4137497,-0.02291766,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1360679400000,2,0.0,1788566340.0,17.64,0.0,0.0,1788552000,17.64,17.65,17.62 - 17.65,17.62,0.83,18.31,17.61,First Trust Preferred Securitie,17.64,0.0,0.0,PCX,18.51,17.54,5.98,,FPE,,,,,,,,,,,
Utilities,utilities,8,CWB,State Street SPDR Bloomberg Convertible Securities ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,14.30877,2.25825,USD,0.478233,176548,102.46,300.0,400.0,us_market,finmb_54917357,NYSEArca,State Street SPDR Bloomberg Convertible Securities ETF,102.65,703312,371380,[],17.579994,0.20592706,85.37 - 112.02,-9.07,-0.08096769,18.63333,0.0,,0.0,15.71286,-4.80522,-4.80522,5605458900.0,CLOSED,,,,103.6368,-0.6868057,-0.0066270446,98.3601,4.589897,0.04666422,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1239888600000,2,-0.5730902,1788566147.0,102.36,-0.58999634,0.489998,1788552000,102.95,103.0,102.29 - 103.0,102.29,0.4,103.89,96.9,State Street SPDR Bloomberg Con,102.36,0.489998,0.478233,PCX,112.02,85.37,1.53,,CWB,,1.88,54.760635,,,,,,,,
Utilities,utilities,9,ISTB,iShares Core 1-5 Year USD Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.84,10.989010989010989,5.55334,-0.60967,USD,0.0,277711,47.8,2.0,6.0,us_market,finmb_223235655,NasdaqGM,iShares Core 1-5 Year USD Bond ETF,47.79,430644,379570,[],0.069999695,0.0014665765,47.73 - 49.05,-1.25,-0.0254842,-2.2294939,0.0,10.868502,0.0,0.91835,0.29729,0.29729,5093133300.0,CLOSED,4.3980303,,,48.0274,-0.22740173,-0.0047348333,48.4279,-0.62789917,-0.012965649,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1351085400000,2,-0.20920183,1788564602.0,47.7,-0.099998474,0.0,1788552001,47.8,47.81,47.7775 - 47.81,47.7775,0.06,48.02,47.96,iShares Core 1-5 Year USD Bond ,47.7,0.0,0.0,NGM,49.05,47.73,4.28,,ISTB,1522972800.0,,,,,,,,,,
Utilities,utilities,10,PGX,Invesco Preferred ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.92,24.752475247524753,9.31731,3.08092,USD,-0.285178,3708728,10.52,67000.0,18200.0,us_market,finmb_40538756,NYSEArca,Invesco Preferred ETF,10.52,3262593,4015400,[],0.0,0.0,10.49 - 11.92,-1.4300003,-0.11996647,-10.571188,0.0,,0.0,-1.93008,-2.11681,-2.11681,3731038720.0,CLOSED,,,,10.7244,-0.2343998,-0.021856682,11.07495,-0.58495045,-0.052817434,,15,0,America/New_York,EDT,-14400000,False,False,False,True,1201789800000,2,0.0,1788564606.0,10.49,0.0,-0.0300007,1788552000,10.49,10.53,10.49 - 10.53,10.49,0.5,10.55,10.49,Invesco Preferred ETF,10.49,-0.0300007,-0.285178,PCX,11.92,10.49,6.51,,PGX,,,,,,,,,,,
