sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc
Consumer Discretionary,consumer-cyclical,1,XLY,State Street Consumer Discretio,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,2,VCR,Vanguard Consumer Discretion ET,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,3,ITB,iShares U.S. Home Construction ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,4,FDIS,Fidelity MSCI Consumer Discreti,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,5,XHB,State Street SPDR S&P Homebuild,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,6,IYC,iShares U.S. Consumer Discretio,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,7,NAIL,Direxion Daily Homebuilders & S,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,8,XRT,State Street SPDR S&P Retail ET,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,9,RSPD,Invesco S&P 500 Equal Weight Co,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Discretionary,consumer-cyclical,10,PEJ,Invesco Leisure and Entertainme,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-cyclical/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,1,XLP,State Street Consumer Staples S,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,2,VDC,Vanguard Consumer Staples ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,3,FSTA,Fidelity MSCI COnsumer Staples ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,4,IYK,iShares U.S. Consumer Staples E,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,5,KXI,iShares Global Consumer Staples,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,6,RSPS,Invesco S&P 500 Equal Weight Co,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,7,FXG,First Trust Cons. Staples Alpha,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
Consumer Staples,consumer-defensive,8,HIMZ,Defiance Daily Target 2X Long H,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_consumer-defensive/,2026-07-17T03:37:13+00:00
